Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,WP,HP,OBA
Casey Sutherland,Davidson,8,1,2.49,13,11,2,1,0,79.2,81,31,22,7,66,4,4,0.256
Connor Gillispie,VCU,5,3,2.5,20,20,0,0,0,86.1,58,27,24,24,118,2,4,0.189
Justin Slaten,New Mexico,5,5,2.51,13,13,0,0,0,82.1,65,31,23,36,98,18,10,0.215
Tony Locey,Georgia,11,2,2.53,16,15,0,0,0,89,51,28,25,45,97,12,7,0.168
Jake Gilbert,Air Force,6,3,2.55,15,10,0,0,1,67,72,28,19,23,53,4,8,0.274
Dante Biasi,Penn State,3,6,2.55,14,14,0,0,0,74,52,28,21,33,102,1,10,0.196
Alex Williams,Stanford,8,1,2.56,14,10,1,0,0,63.1,53,23,18,8,43,0,6,0.226
Garrett Farmer,Jacksonville State,5,2,2.56,16,16,0,0,0,105.1,89,38,30,16,110,4,1,0.23
Corey Gaconi,Southeastern Louisiana,7,3,2.57,16,16,2,1,0,108.2,100,34,31,11,95,5,3,0.244
Donovan Moffat,St. Bonaventure,4,4,2.58,21,4,0,0,4,59.1,49,22,17,13,53,0,0,0.235
Nathan Price,Air Force,6,3,2.59,22,0,0,0,5,62.2,51,21,18,18,32,4,4,0.232
Scott Randall,Sacramento State,8,2,2.59,17,15,1,0,0,93.2,86,36,27,33,76,0,0,0.255
Mason Studstill,Florida Gulf Coast,5,2,2.6,15,15,0,0,0,86.2,53,30,25,43,96,4,5,0.172
Landon Knack,East Tennessee State,9,4,2.6,15,15,0,0,0,97,90,34,28,16,94,3,6,0.241
Kevin Perez,Jackson State,5,4,2.6,21,3,0,0,1,62.1,55,21,18,20,74,10,1,0.233
Michael Clark,Cal Poly,6,3,2.61,32,0,0,0,8,69,58,27,20,23,52,6,6,0.22
Jordan Martinson,Dallas Baptist,8,4,2.61,16,16,0,0,0,100,79,30,29,29,115,1,6,0.218
Michael Horrell,Campbell,10,3,2.62,15,13,1,0,0,89.1,79,36,26,13,85,5,7,0.23
Christian Scafidi,Pennsylvania,6,1,2.62,10,9,1,0,0,68.2,60,29,20,19,59,1,7,0.234
Brett Kerry,South Carolina,4,1,2.62,22,2,0,0,7,58.1,43,17,17,13,65,4,1,0.2
Nick Snyder,West Virginia,9,1,2.65,16,13,1,1,0,68,42,22,20,34,103,4,14,0.179
Hayes Heinecke,Wofford,10,2,2.65,16,15,1,1,0,88.1,82,35,26,15,84,5,3,0.241
Jack Ralston,UCLA,11,1,2.66,17,17,0,0,0,101.1,79,35,30,33,110,12,3,0.214
Harrison Smith,High Point,2,4,2.67,13,12,1,0,0,64,50,34,19,27,68,5,7,0.207
Andre Pallante,UC Irvine,10,4,2.68,15,15,0,0,0,94,73,38,28,29,89,5,6,0.212
Tim Elliott,Georgia,6,3,2.7,14,13,0,0,0,66.2,40,24,20,24,64,5,5,0.174
Tyler Thorton,Saint Mary's,10,2,2.71,15,13,0,0,0,76.1,47,23,23,27,94,2,14,0.175
Chase Smith,Pittsburgh,4,6,2.72,33,0,0,0,5,59.2,54,23,18,17,55,5,3,0.245
Jeff Criswell,Michigan,7,1,2.72,22,17,0,0,3,106,88,40,32,50,116,9,7,0.232
Grant Judkins,Iowa,4,7,2.72,15,15,0,0,0,82.2,70,38,25,31,65,5,2,0.23
Nick Stewart,James Madison,4,5,2.74,15,15,0,0,0,72.1,56,31,22,33,61,4,12,0.22
Max Loven,North Dakota State,4,2,2.74,13,13,3,0,0,88.2,78,30,27,15,75,1,4,0.24
Chance Hroch,New Mexico State,10,1,2.74,15,15,2,2,0,85.1,82,47,26,30,69,9,3,0.245
George Kirby,Elon,8,2,2.75,14,14,3,1,0,88.1,73,34,27,6,107,6,6,0.221
Jack Owen,Auburn,4,2,2.75,14,10,1,1,0,68.2,64,22,21,14,59,3,2,0.247
Andy Fisher,Illinois,7,1,2.75,16,16,0,0,0,101.1,76,33,31,35,95,6,12,0.208
MD Johnson,Dallas Baptist,10,2,2.76,16,16,0,0,0,98,71,35,30,29,110,10,6,0.203
Ben Anderson,Binghamton,9,4,2.76,15,15,4,1,0,88,79,29,27,27,108,5,4,0.239
Chris Gerard,Virginia Tech,3,2,2.77,12,12,0,0,0,55.1,55,22,17,25,44,3,4,0.264
Nathan Jones,Northwestern State,7,4,2.78,14,14,2,2,0,81,60,29,25,25,80,2,4,0.209
Rodney Boone,UC Santa Barbara,8,0,2.78,14,14,0,0,0,81,58,26,25,29,80,0,0,0.21
Reid Detmers,Louisville,13,4,2.78,19,18,0,0,0,113.1,71,35,35,33,167,1,7,0.177
Matt Canterino,Rice,6,5,2.81,15,15,1,0,0,99.1,73,35,31,23,121,3,7,0.199
Walker Powell,Southern Miss,6,2,2.81,16,16,3,1,0,99.1,99,35,31,13,73,2,7,0.263
Arman Sabouri,California,2,2,2.81,26,16,0,0,4,57.2,44,21,18,17,71,5,9,0.211
Enzo Stefanoni,Harvard,5,1,2.82,19,1,0,0,0,44.2,37,17,14,12,36,0,0,0.237
Tanner Burns,Auburn,4,4,2.82,16,15,1,1,0,79.2,65,35,25,23,101,11,5,0.218
Grant Gambrell,Oregon State,5,3,2.83,13,13,0,0,0,70,59,26,22,25,80,0,0,0.238
Jonathan Zacharias,Cornell,1,3,2.83,13,8,0,0,0,41.1,37,15,13,14,30,3,4,0.25
Jack Schneider,Grand Canyon,3,2,2.83,12,12,0,0,0,60.1,57,24,19,18,38,6,5,0.254
Trent Johnson,Purdue,3,3,2.83,22,5,0,0,1,60.1,43,22,19,19,73,8,3,0.201
Andrew Saalfrank,Indiana,8,1,2.84,15,12,0,0,0,73,68,26,23,26,98,11,4,0.246
Karan Patel,UTSA,4,5,2.84,15,15,0,0,0,92,83,43,29,36,104,10,9,0.238
Triston Polley,Indiana State,8,1,2.84,16,16,3,0,0,104.2,84,38,33,40,90,9,7,0.227
Cody Laweryson,Maine,5,5,2.85,14,14,0,0,0,72.2,59,29,23,23,79,6,7,0.224
Pat Leatherman,Central Michigan,10,1,2.86,16,16,0,0,0,88,71,32,28,28,86,4,5,0.223
Ryan Jensen,Fresno State,12,1,2.88,16,15,1,1,1,100,82,36,32,27,107,7,5,0.217
Jesse McCord,Samford,6,1,2.88,13,13,0,0,0,68.2,66,29,22,21,54,0,3,0.257
Justin Sterner,BYU,8,3,2.92,15,13,0,0,0,71,56,25,23,23,71,7,2,0.215
Cole Stetzar,Saint Joseph's,3,2,2.92,22,4,0,0,3,52.1,52,25,17,21,43,1,1,0.261
Bryce Elder,Texas,2,4,2.93,13,13,0,0,0,83,70,34,27,33,86,6,7,0.233
Justin Cherry,Rhode Island,3,1,2.93,15,9,0,0,0,55.1,55,25,18,19,56,0,0,0.27
Noah Cameron,Central Arkansas,6,2,2.95,14,14,1,1,0,94.2,83,33,31,19,91,5,5,0.239
Ryan Chasse,Campbell,7,2,2.95,15,15,1,0,0,76.1,61,33,25,27,58,5,9,0.224
Collin Liberatore,Indiana State,10,2,2.96,16,16,1,1,0,103.1,75,38,34,35,80,3,5,0.208
Cody Luther,Saint Louis,8,3,2.97,14,14,1,1,0,85,71,32,28,22,82,5,6,0.228
Slater Foust,UTSA,8,2,2.97,16,14,2,0,0,85,74,36,28,23,45,2,7,0.233
Ethan Chavis,North Carolina A&T,2,2,2.98,19,8,0,0,0,57.1,54,30,19,20,34,2,5,0.242
Tanner Brubaker,UC Irvine,5,3,2.99,12,12,1,0,0,72.1,64,27,24,17,50,5,6,0.236
Jake Kuchmaner,East Carolina,7,2,2.99,17,14,1,1,0,87.1,63,34,29,26,73,7,3,0.203
Jacob Bedevian,Nicholls,4,2,2.99,15,14,2,0,0,102.1,96,45,34,19,61,7,4,0.247
Brendan White,Siena,4,7,3,14,14,6,1,0,90,89,40,30,31,93,11,10,0.256
Jared Wetherbee,Elon,7,4,3,18,11,0,0,1,84,67,34,28,23,98,5,5,0.218
Nick Marchese,North Florida,7,0,3.01,17,13,2,1,0,86.2,74,36,29,38,65,2,5,0.231
Tevin Murray,Rutgers,4,5,3.02,17,12,0,0,0,68.2,50,28,23,36,81,5,12,0.2
Karl Kauffmann,Michigan,12,7,3.03,21,20,0,0,1,130.2,107,59,44,39,111,9,8,0.221
Carlos Lomeli,Saint Mary's,10,2,3.05,16,14,1,1,0,88.2,81,32,30,13,58,3,10,0.248
Kaleb Bowman,Appalachian State,6,2,3.05,27,0,0,0,4,62,51,22,21,30,52,1,6,0.228
Matt Waldron,Nebraska,6,4,3.05,16,14,1,0,0,100.1,97,37,34,7,93,2,8,0.252
Clay Aguilar,Houston,6,4,3.06,16,13,0,0,0,67.2,61,28,23,21,73,3,9,0.243
Jack Cushing,Georgetown,4,5,3.06,15,12,1,0,0,79.1,72,36,27,20,87,8,5,0.237
Kaven Brown,Eastern Kentucky,8,1,3.07,10,10,0,0,0,61.2,55,28,21,28,57,5,6,0.232
Josh Simpson,Columbia,4,3,3.07,10,10,1,1,0,61.2,53,30,21,20,56,4,3,0.231
Jacques Pucheu,Austin Peay,8,4,3.07,16,15,1,0,0,96.2,69,37,33,37,108,3,3,0.196
Ryan Shreve,Pacific,4,5,3.08,12,12,3,0,0,79,57,31,27,11,56,0,0,0.211
Patrick Raby,Vanderbilt,10,1,3.08,18,15,0,0,0,76,75,34,26,46,81,6,2,0.26
Isaiah Nunez,Cal State Northridge,8,4,3.09,15,15,1,1,0,93.1,106,40,32,13,66,4,4,0.286
Sean Mellen,Northeastern,5,2,3.1,15,15,1,0,0,90,69,34,31,39,112,3,2,0.212
Andrew Abrahamowicz,Bowling Green,2,5,3.11,14,12,1,0,0,75.1,82,38,26,26,61,4,11,0.287
Connor Thomas,Georgia Tech,9,2,3.11,16,16,3,2,0,113,118,48,39,19,103,3,5,0.265
Logan Allen,Florida International,4,6,3.11,14,14,0,0,0,84,71,41,29,25,120,4,6,0.231
Jackson Wark,Saint Louis,3,5,3.12,18,10,0,0,2,60.2,52,30,21,26,68,15,4,0.225
Jason Blanchard,Lamar,5,4,3.12,14,14,0,0,0,89.1,76,40,31,27,87,6,4,0.226
JT Ginn,Mississippi State,8,4,3.13,17,17,1,0,0,86.1,72,35,30,19,105,13,4,0.22
Jack Corbell,Miami (OH),5,3,3.13,16,14,0,0,0,77.2,73,36,27,35,50,6,6,0.252
Tommy Genuario,Rutgers,3,5,3.14,20,7,0,0,0,63,62,31,22,25,39,5,7,0.255
Jordan Spicer,UCF,3,0,3.14,14,13,1,0,0,63,52,25,22,35,47,4,11,0.231
Brady Miller,Western Michigan,5,2,3.15,15,10,1,0,0,60,59,30,21,11,49,4,6,0.255
Garret Price,Liberty,7,3,3.15,29,2,0,0,3,65.2,43,25,23,24,71,3,6,0.191
Ryan Miller,North Carolina Central,6,4,3.15,17,12,0,0,1,71.1,73,36,25,13,73,2,3,0.266
Austin Pope,Fairfield,4,3,3.16,14,14,2,1,0,77,56,35,27,35,79,10,3,0.201
Alec Marsh,Arizona State,9,3,3.17,16,15,1,0,0,96.2,85,40,34,33,92,3,7,0.241
Austin Love,North Carolina,8,4,3.18,36,0,0,0,5,68,53,29,24,25,67,10,6,0.216
Austin Roberts,Sacramento State,5,4,3.18,22,9,0,0,6,73.2,64,31,26,30,84,0,0,0.245
Chris Weber,Texas A&M,4,1,3.19,23,8,0,0,0,65,59,26,23,20,78,6,5,0.246
Logan Rinehart,California Baptist,9,0,3.2,12,11,0,0,0,64.2,52,31,23,27,68,4,6,0.214
Davis Sharpe,Clemson,7,4,3.2,15,14,0,0,0,84.1,61,36,30,33,84,6,12,0.205
Cameron Brown,Central Michigan,10,1,3.2,16,16,1,0,0,98.1,89,40,35,30,79,4,9,0.241
Mat Clark,Clemson,9,3,3.21,14,11,0,0,0,73,53,32,26,23,60,0,2,0.202
Tim Miller,Richmond,5,2,3.21,14,14,0,0,0,75.2,63,33,27,34,65,5,6,0.221
Michael Johnson,North Carolina A&T,4,5,3.22,15,14,1,1,0,81,92,39,29,13,46,3,3,0.28
John Alan Kendrick,Pennsylvania,0,2,3.22,10,6,0,0,0,58.2,58,29,21,19,46,2,6,0.256
Anthony Donatella,San Diego,4,1,3.23,18,6,0,0,0,53,46,19,19,22,41,4,3,0.232
Tyler Whitbread,Indiana State,9,2,3.23,15,15,1,1,0,83.2,77,33,30,16,66,7,3,0.238
Daniel Sweeney,East Tennessee State,6,3,3.23,14,13,0,0,0,78,73,35,28,13,71,2,6,0.244
Evan Kravetz,Rice,6,2,3.24,14,14,0,0,0,80.2,58,33,29,32,108,4,5,0.2
Drey Jameson,Ball State,6,3,3.24,16,16,0,0,0,91.2,74,36,33,32,146,7,9,0.219
Josh Agnew,Loyola Marymount,6,4,3.24,15,14,1,0,0,86,84,43,31,17,62,0,9,0.246
Kumar Rocker,Vanderbilt,12,5,3.25,19,16,1,1,0,99.2,88,40,36,21,114,7,7,0.233
Gavin Weyman,Towson,4,8,3.26,13,13,1,0,0,77.1,74,38,28,28,56,11,6,0.247
Evan Johnson,Creighton,9,2,3.26,17,14,0,0,0,77.1,55,35,28,42,74,3,9,0.197
Kevin Kelly,James Madison,7,7,3.26,15,15,0,0,0,88.1,74,35,32,24,94,1,8,0.226
Levi Prater,Oklahoma,7,4,3.26,16,14,0,0,0,80,60,34,29,43,97,0,0,0.217
Ben Smith,North Dakota State,4,3,3.26,12,11,0,0,0,60.2,60,30,22,21,38,4,8,0.265
Jared Leins,Navy,3,1,3.27,13,13,0,0,0,71.2,58,28,26,20,73,11,12,0.226
Tommy Henry,Michigan,12,5,3.27,20,19,2,2,0,124,102,52,45,26,135,9,9,0.221
Nate Fisher,Nebraska,7,3,3.27,15,15,0,0,0,82.2,76,38,30,25,68,9,5,0.244
Bobby Ay,Cal Poly,9,1,3.27,15,15,0,0,0,85.1,82,35,31,35,74,2,6,0.255
Sean Harney,Massachusetts,3,5,3.27,12,11,0,0,0,66,55,30,24,33,48,8,14,0.234
Ty Weber,Illinois,4,3,3.28,16,14,0,0,0,79.2,65,38,29,32,46,2,8,0.22
Nolan Hunt,Canisius,5,4,3.28,14,12,1,0,0,71.1,71,28,26,18,49,6,4,0.262
Cade Cavalli,Oklahoma,5,3,3.28,12,12,0,0,0,60.1,53,23,22,35,59,0,0,0.246
Aidan Anderson,McNeese,7,6,3.29,27,6,1,0,7,79.1,70,32,29,30,66,9,5,0.243
Alex Pham,San Francisco,3,4,3.3,21,3,0,0,6,71,60,31,26,28,90,4,2,0.226
AJ Jones,Jacksonville,7,4,3.3,15,15,0,0,0,87.1,74,39,32,31,77,2,4,0.234
Brian Van Belle,Miami,9,2,3.3,16,16,0,0,0,95.1,91,41,35,24,84,3,8,0.247
Tyler Olmstead,South Dakota State,4,4,3.3,15,14,1,1,0,95.1,83,47,35,31,92,10,14,0.233
Doug Nikhazy,Ole Miss,9,3,3.31,20,14,0,0,1,89.2,78,34,33,33,86,5,8,0.237
Parker White,Nicholls,4,4,3.32,19,10,0,0,0,59.2,58,26,22,24,43,4,4,0.258
Daniel Burggraaf,Army,5,3,3.32,14,14,2,0,0,84,73,39,31,21,83,8,7,0.23
Hayden Wesneski,Sam Houston,8,4,3.32,15,15,2,0,0,105.2,98,49,39,21,110,2,9,0.243
Garrett Stallings,Tennessee,8,5,3.33,16,16,2,2,0,102.2,110,44,38,16,106,7,4,0.27
Josh Price,College of Charleston,7,5,3.33,33,4,0,0,1,81,78,32,30,23,54,4,10,0.257
Adam Seminaris,Long Beach State,4,9,3.35,15,14,1,1,0,94,98,41,35,24,74,8,12,0.269
Devin Rivera Ozuna,Coppin State,8,3,3.36,12,12,2,0,0,75,71,42,28,24,74,6,13,0.25
Charles King,TCU,6,3,3.36,21,8,2,0,1,85.2,89,43,32,15,53,1,0,0.262
Bryan Delgado,Grambling,6,4,3.38,15,12,2,2,0,88,84,40,33,27,69,2,6,0.251
Rogelio Reyes,California,4,3,3.38,20,0,0,0,1,61.1,59,26,23,25,57,4,9,0.255
Anthony DiMeglio,Fordham,6,4,3.38,17,13,0,0,0,66.2,60,34,25,25,64,0,0,0.251
Will Ethridge,Ole Miss,7,7,3.39,17,16,0,0,0,93,87,45,35,24,73,1,10,0.25
Chris Gonzalez,Stetson,7,3,3.4,17,13,1,0,0,92.2,98,47,35,22,73,3,9,0.271
Matt Miller,Louisiana Tech,6,1,3.4,18,15,1,0,1,84.2,71,38,32,34,99,8,13,0.228
Andrew McInvale,Liberty,10,3,3.41,17,17,0,0,0,103,88,44,39,40,101,5,8,0.233
Justin Sorokowski,VCU,4,2,3.42,20,20,0,0,0,73.2,61,32,28,16,73,3,8,0.225
Stephen Hansen,Iona,4,6,3.42,14,14,1,1,0,94.2,107,46,36,14,93,2,2,0.288
David Zoz,Middle Tennessee,2,3,3.44,20,7,0,0,2,55,55,30,21,30,51,1,5,0.258
Garth Cahill,Jackson State,6,1,3.45,20,10,3,0,1,78.1,68,41,30,17,47,1,15,0.234
Pierson Ohl,Grand Canyon,7,5,3.45,16,16,1,0,0,91.1,93,41,35,19,66,4,7,0.266
Ryan Smith,Princeton,5,4,3.45,12,11,1,0,0,75.2,70,39,29,35,76,6,2,0.245
Hunter Parsons,Maryland,10,3,3.45,15,15,0,0,0,104.1,88,42,40,32,78,1,14,0.232
Scott Politz,Yale,6,3,3.46,11,11,2,0,0,83.1,91,35,32,18,56,0,0,0.289
Drew Gooch,UT Arlington,3,3,3.47,16,9,0,0,0,62.1,76,28,24,24,42,2,5,0.313
Brent Headrick,Illinois State,9,3,3.47,16,16,1,0,0,96,74,49,37,31,115,5,3,0.21
Landen Roupp,UNC Wilmington,6,3,3.47,22,12,1,0,2,80.1,72,41,31,31,91,7,6,0.232
Chris Enns,Quinnipiac,7,5,3.47,15,15,2,0,0,80.1,74,42,31,24,77,2,11,0.25
Tyler Mattison,Bryant,9,1,3.47,15,15,0,0,0,80.1,83,42,31,30,67,0,0,0.277
Erik Miller,Stanford,8,3,3.48,16,16,0,0,0,82.2,68,38,32,46,102,10,4,0.224
Chesdin Harrington,Virginia,5,1,3.49,21,3,0,0,0,59.1,65,27,23,16,64,9,1,0.279
Austin Koehn,UNC Greensboro,4,3,3.49,15,14,0,0,0,77.1,67,33,30,22,67,2,6,0.235
Russell Grant II,Santa Clara,3,4,3.49,15,10,0,0,0,67,64,36,26,29,57,0,0,0.261
Chris Murphy,San Diego,4,3,3.5,13,12,0,0,1,64.1,44,28,25,43,87,5,15,0.199
Shane Mejia Jr.,Nicholls,4,2,3.51,14,13,0,0,0,59,67,31,23,20,43,6,2,0.285
Jonathan Pendergast,Pepperdine,7,3,3.51,13,13,2,2,0,84.2,81,39,33,27,64,4,1,0.252
Tim Luth,North Carolina A&T,7,3,3.51,16,14,1,1,1,89.2,88,38,35,21,43,1,5,0.256
Drake Nightengale,South Alabama,6,2,3.52,15,12,0,0,1,71.2,48,30,28,38,91,5,8,0.196
Ryan Hare,UNLV,8,4,3.52,16,11,0,0,0,79.1,63,34,31,24,52,5,7,0.217
Eli Morse,Portland,2,8,3.52,13,13,0,0,0,79.1,85,45,31,17,73,8,10,0.269
Alex Stiegler,Yale,6,4,3.52,11,11,1,0,0,76.2,75,36,30,21,76,0,0,0.267
Kyle Coleman,Florida A&M,6,6,3.52,17,17,3,1,0,99.2,106,56,39,40,81,7,13,0.272
Bryce Fehmel,Oregon State,7,3,3.53,16,16,2,0,0,99.1,88,45,39,20,71,0,0,0.247
Levi Stoudt,Lehigh,3,4,3.53,11,10,3,0,0,63.2,53,31,25,21,69,4,5,0.228
Cole McDonald,Iowa,6,3,3.54,15,15,0,0,0,89,86,38,35,29,83,9,4,0.254
Blair Henley,Texas,6,4,3.54,13,13,1,0,0,73.2,74,42,29,34,62,4,7,0.257
Joshua Colon,Lipscomb,6,4,3.55,12,11,1,1,0,66,69,30,26,25,32,7,9,0.272
Jensen Elliott,Oklahoma State,10,4,3.56,17,17,3,1,0,98.2,81,45,39,37,62,3,5,0.223
Bryant Claunch,North Alabama,5,2,3.57,22,1,0,0,1,58,56,28,23,19,62,10,4,0.252
Bear Bellomy,Wright State,9,3,3.58,15,15,3,1,0,95.2,93,46,38,21,74,5,4,0.257
Lael Lockhart,Houston,4,6,3.58,15,15,0,0,0,83,74,44,33,31,76,9,10,0.24
Liam Dvorak,Holy Cross,6,5,3.58,14,13,0,0,1,75.1,68,40,30,34,83,4,6,0.238
Dominic Savino,Albany,4,5,3.59,13,13,2,0,0,77.2,74,42,31,19,58,6,4,0.247
Luke Gesell,UNC Wilmington,5,5,3.59,17,16,0,0,0,92.2,74,48,37,27,72,7,6,0.221
Andrew Nardi,Radford,5,4,3.6,16,7,1,0,0,65,68,31,26,11,37,0,2,0.267
Trevelle Hill,UT Rio Grande Valley,7,5,3.6,15,15,1,0,0,95,91,44,38,35,73,1,6,0.258
Zach Tsakounis,William & Mary,4,2,3.6,15,12,0,0,1,65,66,28,26,22,52,4,5,0.268
Wade Strain,William & Mary,6,4,3.61,14,14,1,0,0,82.1,71,38,33,26,63,3,9,0.23
Jack Liberatore,Ohio,8,5,3.61,15,14,0,0,0,77.1,70,37,31,39,63,0,0,0.252
Chris Kachmar,Lipscomb,9,3,3.61,15,15,2,1,0,94.2,78,51,38,41,94,6,2,0.221
Daniel Paret,Stetson,5,4,3.61,19,14,0,0,0,94.2,74,40,38,47,102,4,5,0.219
Jordan Wicks,Kansas State,6,3,3.61,15,15,1,0,0,84.2,92,35,34,26,86,0,0,0.288
Joshua Shapiro,Marshall,5,3,3.61,15,15,0,0,0,84.2,71,45,34,44,80,6,3,0.226
Alex Olguin,Texas Southern,5,3,3.63,16,8,3,0,1,72,92,43,29,21,42,7,10,0.321
Mason Pelio,Boston College,4,3,3.63,13,13,0,0,0,72,48,36,29,37,62,2,13,0.194
