Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,WP,HP,OBA
Chad Sykes,UNC Greensboro,6,3,0.96,27,0,0,0,11,56,36,7,6,22,68,7,7,0.181
Danny Garcia,Stetson,5,1,1.22,28,0,0,0,2,59,39,13,8,18,32,2,12,0.19
TJ Sikkema,Missouri,7,4,1.32,17,13,2,0,2,88.2,54,23,13,31,101,6,10,0.175
Noah Song,Navy,11,1,1.44,14,14,6,2,0,94,55,15,15,31,161,4,3,0.171
Ryan Garcia,UCLA,10,1,1.44,16,13,1,1,0,94,52,24,15,26,117,4,3,0.16
John Stankiewicz,Fordham,8,4,1.47,17,13,1,0,0,92,62,21,15,20,102,0,0,0.2
Joe LaSorsa,St. John's,6,5,1.66,15,14,1,0,1,86.2,62,31,16,33,67,9,10,0.199
Chris Clements,Portland,7,1,1.69,13,12,2,1,0,85.1,54,19,16,18,76,5,6,0.18
Steve Theetge,Bryant,9,2,1.75,16,16,2,0,0,102.2,81,30,20,30,96,0,0,0.227
Trenton Denholm,UC Irvine,9,4,1.81,15,14,4,1,0,99.2,61,21,20,20,93,4,10,0.178
Griffin McLarty,College of Charleston,8,4,1.87,15,15,2,0,0,101,66,28,21,20,116,6,5,0.183
Garrett Lawson,Delaware State,7,4,1.89,13,13,3,2,0,81,61,32,17,32,100,9,3,0.202
Aaron Barkley,Mississippi Valley State,1,2,1.9,16,1,1,0,2,38,30,10,8,7,51,0,0,0.214
Codie Paiva,Loyola Marymount,8,5,1.91,16,15,2,0,0,103.2,86,25,22,18,90,3,3,0.222
Adrian Mardueno,San Diego State,5,2,1.93,26,3,0,0,2,65.1,44,21,14,28,75,4,4,0.196
Ethan Small,Mississippi State,10,2,1.94,18,18,0,0,0,107,61,26,23,32,176,3,8,0.164
Michael McGreevy,UC Santa Barbara,5,1,1.94,29,0,0,0,6,60.1,52,15,13,13,53,0,0,0.243
Payton Kinney,Omaha,11,2,1.96,17,17,1,0,0,115,75,25,25,39,111,8,4,0.188
Cody Davenport,Central Arkansas,7,4,1.98,16,15,4,1,1,104.2,79,34,23,21,95,2,4,0.204
Andrew Bash,California Baptist,6,4,1.98,15,13,0,0,1,77.1,58,22,17,24,77,1,4,0.206
Emerson Hancock,Georgia,8,3,1.99,14,14,1,0,0,90.1,58,21,20,18,97,2,4,0.185
Dylan Thomas,Hawaii,4,4,2.01,20,3,0,0,4,53.2,40,18,12,13,59,3,3,0.209
Brandon Eisert,Oregon State,8,2,2.03,14,7,0,0,0,62,59,15,14,13,74,0,0,0.261
Cole Cook,Bradley,5,2,2.03,19,4,0,0,0,62,48,14,14,17,38,2,2,0.22
Mason Hickman,Vanderbilt,9,0,2.05,20,13,0,0,3,96.2,64,24,22,28,129,3,6,0.183
Jared Horn,California,6,2,2.06,12,12,1,0,0,74.1,55,23,17,21,62,0,2,0.21
Mitch Janssen,Bradley,4,2,2.06,16,15,1,1,0,74.1,54,22,17,35,71,3,0,0.199
John Doxakis,Texas A&M,7,4,2.06,16,16,0,0,0,104.2,80,31,24,26,115,11,13,0.207
Alek Manoah,West Virginia,9,4,2.08,16,16,2,2,0,108.1,71,32,25,27,144,9,14,0.186
Andrew Magno,Ohio State,5,3,2.09,31,0,0,0,14,64.2,45,17,15,36,75,4,2,0.205
Bernie Martinez,Incarnate Word,9,2,2.11,22,3,0,0,7,81,66,27,19,34,74,6,6,0.228
Max Meyer,Minnesota,5,3,2.11,16,11,0,0,2,76.2,58,21,18,20,87,3,2,0.202
Isaiah Campbell,Arkansas,12,1,2.13,18,18,0,0,0,118.1,87,36,28,22,125,4,3,0.204
Asa Lacy,Texas A&M,8,4,2.13,15,15,2,1,0,88.2,49,23,21,43,130,8,13,0.162
Micah Kaczor,East Tennessee State,7,2,2.13,16,15,1,1,0,101.1,83,31,24,20,85,1,1,0.224
John Baker,Ball State,7,2,2.14,14,13,0,0,0,71.2,48,27,17,35,90,2,6,0.19
Kade Mechals,Grand Canyon,11,1,2.16,16,15,0,0,0,91.2,64,24,22,35,100,3,6,0.193
Zach Hester,Samford,7,4,2.17,15,15,1,1,0,83,66,21,20,12,82,2,2,0.216
Alek Jacob,Gonzaga,7,3,2.17,25,4,0,0,12,78.2,56,23,19,31,87,1,9,0.2
Benjamin Dum,VCU,5,7,2.18,21,0,0,0,4,70.1,48,24,17,15,63,0,12,0.19
Kyle Gruller,Houston Baptist,3,3,2.18,12,12,0,0,0,74.1,55,24,18,39,85,12,11,0.207
Easton Walker,BYU,7,2,2.2,19,10,0,0,1,77.2,67,24,19,14,48,5,4,0.237
Brennan Lewis,Abilene Christian,2,1,2.21,24,1,0,0,10,57,49,20,14,5,34,0,0,0.241
Bodie Sheehan,William & Mary,5,2,2.26,14,14,0,0,0,91.2,83,25,23,16,56,3,5,0.247
Alex Palmer,Stephen F. Austin,7,6,2.27,15,15,4,1,0,107,70,31,27,31,109,10,6,0.188
Fred Villarreal,Houston,5,4,2.29,33,0,0,0,10,59,45,18,15,19,44,1,5,0.213
Connor Schultz,Butler,6,1,2.29,13,13,1,1,0,78.2,70,24,20,21,79,8,4,0.233
Jake Agnos,East Carolina,11,3,2.29,17,17,0,0,0,102,74,29,26,43,145,10,9,0.198
Dan Metzdorf,Boston College,8,2,2.3,12,12,1,0,0,82.1,59,26,21,32,72,4,5,0.204
Stevie Emanuels,Washington,2,3,2.35,31,0,0,0,6,53.2,43,20,14,22,65,2,6,0.216
Nick Lodolo,TCU,6,6,2.36,16,16,1,0,0,103,76,38,27,25,131,2,10,0.203
Zack Thompson,Kentucky,6,1,2.4,14,14,2,1,0,90,59,29,24,34,130,4,8,0.184
Matthew Brash,Niagara,4,5,2.43,14,14,3,2,0,85.1,61,33,23,29,121,9,4,0.194
Mason Mellott,Penn State,6,3,2.43,21,0,0,0,5,63,59,25,17,14,52,3,6,0.244
Brad Deppermann,North Florida,6,5,2.46,15,15,2,0,0,95,76,29,26,24,108,10,5,0.217
Jack Dashwood,UC Santa Barbara,9,2,2.48,15,15,1,0,0,90.2,79,32,25,17,93,0,0,0.245
