Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,WP,HP,OBA
Marcus Cashman,Niagara,2,5,4.39,17,14,0,0,0,69.2,51,39,34,31,66,12,8,0.204
Blake Morgan,Old Dominion,8,0,1.69,16,13,0,0,0,69.1,57,23,13,8,66,2,3,0.216
Jacob Denner,Michigan,4,6,6.38,24,11,0,0,2,67.2,85,57,48,25,66,7,6,0.304
Ben Vespi,UCF,6,4,3.56,25,9,0,0,2,65.2,60,33,26,17,66,1,5,0.241
Doyle Gehring,Air Force,4,3,4.36,23,6,0,0,6,64,67,37,31,23,66,11,8,0.266
Trent Seibert,Middle Tennessee,4,5,4.04,21,4,0,0,1,62.1,61,34,28,24,66,2,5,0.258
Grant Vurpillat,New Jersey Tech,6,4,5.23,21,7,0,0,2,62,63,37,36,28,66,0,7,0.275
Jake Shirk,Wright State,6,6,5.55,16,16,1,1,0,86,94,57,53,23,65,6,8,0.276
Forrest Barnes,Missouri State,6,6,5.25,19,11,1,0,0,85.2,83,51,50,33,65,1,17,0.252
Wyatt Scotti,Northeastern,8,3,2.88,14,14,0,0,0,81.1,70,32,26,8,65,5,9,0.235
Jared Lyons,George Mason,6,5,5.69,18,13,1,0,1,80.2,76,57,51,40,65,16,6,0.252
Jacob Kmatz,Oregon State,8,2,4.19,16,15,0,0,0,77.1,73,40,36,20,65,5,6,0.242
Brooks Ey,Fordham,4,7,6.9,15,13,0,0,0,75.2,99,64,58,25,65,10,13,0.312
Jacob McNairy,Alabama,6,2,4.63,16,12,0,0,0,72,78,39,37,18,65,3,9,0.282
Jared Burch,Houston Baptist,1,5,5.3,14,14,0,0,0,71.1,69,50,42,33,65,14,4,0.253
Justin Medlin,Arkansas State,1,7,5.37,15,14,0,0,0,70.1,81,47,42,33,65,3,3,0.292
Canaan Silver,NC State,8,1,3.21,21,8,0,0,1,70,69,30,25,15,65,6,8,0.248
Jordan Martinez,Texas Southern,6,5,5.91,15,14,1,1,0,70,80,55,46,33,65,5,19,0.293
Zach Garcia,Texas A&M-Corpus Christi,6,3,3.86,18,9,1,0,2,67.2,65,36,29,19,65,4,6,0.252
Chad Gartland,George Mason,3,2,3.99,16,8,0,0,3,67.2,72,37,30,20,65,6,7,0.269
Zach Fruit,Eastern Michigan,4,5,7.71,14,14,1,0,0,67.2,91,63,58,34,65,5,9,0.326
Taylor Catton,Bradley,3,5,5.02,23,0,0,0,4,66.1,67,45,37,37,65,4,5,0.263
Emmett Olson,Nebraska,3,3,2.86,19,8,1,0,1,66,61,36,21,16,65,5,5,0.238
Sean Harney,Kentucky,5,4,2.62,16,5,0,0,2,65.1,55,19,19,17,65,4,16,0.226
Patrick Copen,Marshall,3,3,5.83,14,11,0,0,0,63.1,59,46,41,35,65,3,10,0.245
Caleb Riedel,Omaha,4,2,1.49,13,13,0,0,0,60.1,50,12,10,21,65,1,3,0.229
Jaden Hamm,Middle Tennessee,4,2,3.34,16,5,0,0,2,59.1,46,24,22,29,65,4,5,0.215
Jack DiLauro,Holy Cross,1,7,5.95,12,12,0,0,0,59,61,53,39,29,65,5,11,0.257
Michael Dunkelberger,Lipscomb,7,2,3.45,15,13,0,0,0,78.1,81,32,30,18,64,2,6,0.268
Dylan Cumming,Liberty,5,5,5.05,19,12,1,0,0,76.2,90,49,43,27,64,5,8,0.289
Kevin Seitter,Quinnipiac,3,10,6.13,15,13,0,0,0,76.1,118,70,52,31,64,12,6,0.349
Kyle Seebach,Northern Illinois,2,7,7.3,14,11,1,0,0,74,82,71,60,44,64,10,13,0.284
Jaylen Paden,Georgia Southern,6,2,5.3,16,14,0,0,0,71.1,54,43,42,51,64,6,11,0.22
Kaleb Hill,Charleston Southern,6,5,6.09,15,9,0,0,0,68,95,64,46,26,64,9,5,0.319
Kyler McIntosh,Alabama State,4,4,5.78,17,9,0,0,1,67,79,47,43,17,64,4,5,0.306
