Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,WP,HP,OBA
Noah Farmer,Southern Illinois,7,2,3.87,17,17,1,0,0,86,101,41,37,26,54,2,10,0.294
Joseph Gonzales,Auburn,7,4,3.22,15,14,1,0,0,78.1,83,30,28,15,54,3,5,0.276
Nate Haberthier,Ohio State,1,6,6.75,14,13,1,0,0,70.2,87,58,53,16,54,5,6,0.293
Josh Hartle,Wake Forest,7,6,5.3,14,14,0,0,0,69.2,81,54,41,24,54,4,5,0.279
Jake Garland,Miami,6,2,4,14,12,0,0,1,65.1,72,36,29,11,54,2,6,0.282
Gabriel Romano,Quinnipiac,3,1,6.61,18,5,0,0,1,62.2,98,61,46,16,54,3,9,0.349
Ryan Hardman,Dixie State,4,2,5.31,20,7,1,0,4,59.1,75,42,35,21,54,2,8,0.314
Alex Reelfs,Santa Clara,4,7,6.86,23,5,0,0,2,59,75,55,45,29,54,13,5,0.295
Eric Chalus,Kent State,3,2,5.56,12,10,0,0,0,56.2,62,39,35,12,54,3,8,0.273
Cade Lommel,Creighton,1,5,6.4,14,13,0,0,0,52,64,44,37,29,54,7,8,0.302
Michael Wong,UT Arlington,1,7,4.78,14,14,0,0,0,75.1,92,45,40,22,53,6,8,0.297
Jordan Power,Toledo,6,3,5.33,15,12,0,0,1,74.1,81,46,44,25,53,3,11,0.273
Pablo Cortes,New Mexico State,4,5,6.85,16,13,1,1,1,68.1,92,60,52,15,53,4,11,0.319
Kade Morris,Nevada,7,5,4.32,18,4,0,0,3,66.2,68,32,32,22,53,8,5,0.267
Jimmy Galicia,Loyola Marymount,1,7,8.32,17,11,0,0,0,66,87,68,61,23,53,9,10,0.314
Fisher Paulsen,The Citadel,5,4,4.93,15,14,0,0,0,65.2,73,42,36,42,53,5,4,0.289
Joe Joe Rodriguez,St. John's,2,6,5.94,15,10,0,0,1,63.2,66,55,42,44,53,8,10,0.259
Sam Armstrong,Old Dominion,3,2,5.4,15,14,0,0,0,63.1,70,44,38,27,53,5,4,0.279
Mitchell Spencer,Purdue Fort Wayne,2,5,6.39,15,13,0,0,0,62,77,52,44,25,53,9,12,0.302
Drew Buhr,Bellarmine,0,6,6.97,15,10,0,0,0,62,75,59,48,31,53,6,6,0.3
Blake Helmstetter,Iona,2,7,5.98,12,12,1,0,0,55.2,74,52,37,20,53,0,9,0.308
Ryan Taurek,Saint Mary's,4,3,5.53,15,8,0,0,0,55.1,59,35,34,23,53,11,10,0.274
Benjamin Cruikshank,Kent State,3,3,4.86,13,8,1,1,0,53.2,35,29,29,43,53,2,9,0.185
Ryan Bryggman,Binghamton,5,6,5.71,16,16,1,0,0,75.2,86,51,48,40,52,11,11,0.288
Trevor Hinkel,Pepperdine,5,4,3.81,14,11,0,0,0,73.1,69,32,31,25,52,10,10,0.253
Bryan Green,UC Davis,2,6,5.45,15,6,0,0,0,71,78,51,43,28,52,3,10,0.281
Matthew Krall,Prairie View,5,6,6.2,15,14,0,0,0,69.2,89,65,48,38,52,7,9,0.308
Michael Massey,Tulane,3,4,5.03,15,11,0,0,1,68,79,44,38,16,52,1,3,0.287
Logan Evans,Pittsburgh,4,8,7.43,14,14,1,1,0,66.2,90,65,55,17,52,9,6,0.316
Brett Walker,TCU,5,2,4.75,15,11,0,0,0,66.1,80,35,35,16,52,1,7,0.297
Tobey McDonough,Brown,3,3,3.17,11,11,1,0,0,65.1,57,29,23,16,52,7,1,0.226
Liam McDonnell,James Madison,6,1,2.83,16,13,0,0,0,63.2,50,23,20,23,52,5,3,0.227
Scott Youngbrandt,Saint Louis,6,4,6.68,15,12,1,0,0,62,74,51,46,21,52,4,5,0.295
Marcelo Perez,TCU,6,3,3.23,17,9,0,0,1,61.1,48,27,22,27,52,4,8,0.216
Riley Egloff,New Mexico,6,5,6.9,15,9,0,0,0,61.1,92,57,47,18,52,5,6,0.339
Dominic Cancellieri,Creighton,5,3,4.84,13,13,0,0,0,61.1,56,36,33,31,52,6,5,0.239
Alejandro Rosario,Miami,2,3,7.05,15,12,0,0,0,60,83,53,47,25,52,4,12,0.328
Carter Sutton,Winthrop,2,4,5.83,17,10,0,0,0,58.2,77,45,38,32,52,8,8,0.317
Zach Klapak,Delaware,6,4,5.09,19,3,0,0,0,53,44,34,30,31,52,7,5,0.233
Bryson Cafaro,Fairfield,6,2,5.19,13,8,0,0,0,52,48,33,30,18,52,0,3,0.247
Taed Heydinger,Akron,2,10,8.42,14,14,1,0,0,72.2,110,81,68,30,51,5,13,0.348
Noah Covington,UMES,6,5,4.23,12,12,6,0,0,72.1,82,48,34,10,51,3,7,0.28
Jaheim Brown,North Carolina A&T,1,6,7.57,17,10,0,0,1,69,99,66,58,27,51,10,12,0.336
David Moffat,UT Arlington,2,8,4.1,23,4,0,0,2,63.2,81,38,29,14,51,2,4,0.302
Trey Pooser,College of Charleston,5,2,3.92,18,10,0,0,0,62,67,35,27,24,51,4,6,0.27
Bryce Hackett,Tarleton,2,7,7.44,15,12,1,0,0,61.2,85,58,51,27,51,9,12,0.326
Michael Schuler,Eastern Kentucky,5,2,4.11,16,10,0,0,1,61.1,58,30,28,27,51,4,6,0.257
Bryce Robison,BYU,7,1,4.01,19,9,0,0,1,60.2,67,32,27,16,51,3,3,0.283
Connor Eisenmann,Albany,6,2,4.9,17,8,0,0,0,60.2,51,36,33,36,51,5,5,0.226
Cyle Phelan,UNC Wilmington,2,3,4.55,15,11,0,0,0,59.1,42,30,30,36,51,6,5,0.195
Joe Savino,Elon,2,5,5.01,16,9,0,0,1,55.2,68,36,31,10,51,2,5,0.298
Blake Malatestinic,Eastern Illinois,4,4,6.09,16,10,1,1,0,54.2,65,38,37,21,51,2,2,0.295
AJ Blubaugh,Milwaukee,3,3,3.25,16,7,0,0,6,52.2,40,20,19,16,51,4,1,0.208
Carlos Lequerica,Florida International,2,5,5.16,16,11,0,0,1,52.1,51,32,30,21,51,5,5,0.251
Anthony Germinerio,Albany,3,4,5.62,11,9,1,1,0,49.2,50,35,31,22,51,7,17,0.26
Peyton Reesman,Radford,4,2,4.41,13,8,0,0,0,49,43,36,24,28,51,13,9,0.247
Will Greer,Bucknell,5,3,4.39,13,13,4,0,0,82,78,44,40,25,50,1,11,0.252
Nick Evangelista,Fairleigh Dickinson,2,3,5.55,15,14,0,0,0,71.1,93,50,44,18,50,0,9,0.317
Sebastian Keane,Northeastern,5,5,5.99,15,14,0,0,0,70.2,86,62,47,26,50,5,8,0.295
Jalen Wade,Long Island,4,5,6.36,16,15,0,0,0,69.1,79,57,49,41,50,6,6,0.283
Ben Hutchins,The Citadel,4,4,4.15,16,11,0,0,0,69.1,68,44,32,33,50,4,5,0.255
Wyatt Villella,Merrimack,2,5,6.98,12,12,1,0,0,68.1,79,56,53,35,50,3,11,0.294
Garrett Rennie,San Diego,2,4,4.01,15,11,0,0,0,67.1,75,37,30,25,50,4,6,0.286
Colten Davis,UT Rio Grande Valley,4,4,5.74,15,10,1,0,0,64.1,85,44,41,20,50,7,4,0.31
Roman Angelo,Fresno State,4,3,4.82,18,9,0,0,3,61.2,60,36,33,22,50,7,12,0.25
Dan Klepchick,Monmouth,3,4,4.87,15,12,0,0,0,61,72,38,33,11,50,2,3,0.29
Justin Solt,George Washington,3,4,5.25,14,12,0,0,0,58.1,65,35,34,33,50,6,11,0.284
Owen Bishop,South Dakota State,4,5,4.19,11,11,0,0,0,58,54,29,27,15,50,4,2,0.243
Brandon Downer,California Baptist,5,2,5.05,15,10,0,0,0,57,66,39,32,19,50,5,5,0.287
Trey Tujetsch,Appalachian State,4,5,4.98,12,10,0,0,0,56,64,32,31,25,50,6,1,0.286
Jared Hart,Illinois State,2,3,2.46,23,6,0,0,2,55,49,22,15,16,50,3,7,0.239
Daniel Carter,North Carolina A&T,2,7,6.42,12,12,0,0,0,54.2,67,49,39,23,50,11,12,0.306
Dalton Barham,Norfolk State,2,6,5.79,11,11,0,0,0,51.1,56,51,33,33,50,7,6,0.262
Johnathan Harmon,Northwestern State,5,6,3.52,13,13,2,0,0,79.1,77,37,31,23,49,7,5,0.256
Owen Stevenson,San Francisco,2,4,4.57,19,11,0,0,1,69,77,39,35,22,49,4,7,0.293
Evan Sankey,North Dakota State,5,4,3.69,14,14,0,0,0,68.1,84,37,28,15,49,2,3,0.296
Frankie Wright,Wagner,6,4,6.05,14,14,0,0,0,67,85,52,45,32,49,9,9,0.308
Griffin Hassall,Kansas State,4,7,6.24,18,11,0,0,0,66.1,73,51,46,25,49,5,3,0.279
Payton Tolle,Wichita State,4,6,4.48,13,12,0,0,0,66.1,79,38,33,22,49,3,6,0.294
Travis Perry,Youngstown State,4,3,6.26,15,11,1,0,0,64.2,73,53,45,32,49,12,7,0.294
Nathan Skinner,Dartmouth,5,4,6.25,11,11,1,1,0,63.1,78,45,44,14,49,2,4,0.298
Trystan Sarcone,Dartmouth,6,4,4.85,12,11,0,0,0,59.1,67,36,32,13,49,7,5,0.279
Kevin Dow,Massachusetts,6,5,7.71,12,12,0,0,0,58.1,102,52,50,18,49,1,13,0.391
Hoss Brewer,Little Rock,3,2,6.23,19,10,1,0,1,56.1,65,45,39,29,49,4,7,0.28
John Lumpinski,Binghamton,3,6,7.91,17,6,0,0,2,52.1,68,50,46,25,49,3,5,0.312
Sawyer Smallwood,Little Rock,5,6,4.73,29,0,0,0,5,51.1,50,33,27,16,49,1,8,0.251
Sean Matson,Harvard,3,3,5.32,13,6,0,0,0,42.1,45,26,25,17,49,10,1,0.271
Ian McCole,Saint Joseph's,3,6,5.59,15,14,1,1,0,77.1,86,55,48,22,48,3,16,0.286
Connor Harris,George Washington,2,7,5.57,15,14,0,0,0,72.2,98,50,45,21,48,10,7,0.315
Tyler Switalski,Gardner-Webb,5,5,4.13,16,15,0,0,0,72,70,41,33,28,48,7,4,0.251
Jayden Shertel,UMBC,4,3,4.41,15,11,0,0,0,69.1,70,40,34,34,48,4,6,0.256
RJ Gordon,Oregon,4,3,5.64,20,8,0,0,1,68.2,75,47,43,34,48,7,8,0.283
Ben Sears,Houston,6,3,3.11,33,1,0,0,12,66.2,59,23,23,8,48,0,3,0.239
Kaden Echeman,Northern Kentucky,2,9,6.28,18,11,0,0,0,61.2,75,52,43,38,48,15,9,0.301
Bobby Olsen,Brown,0,4,5.83,13,10,0,0,0,58.2,68,43,38,19,48,7,13,0.287
Connor Adams,Tennessee Tech,4,3,5.86,16,14,0,0,0,58.1,71,50,38,28,48,10,5,0.287
Christian Graham,Jacksonville,2,5,4.37,14,14,1,0,0,57.2,39,33,28,38,48,7,12,0.194
Tommy Steier,Creighton,4,1,1.62,25,1,0,0,8,55.2,42,11,10,22,48,6,10,0.209
Brenden Lovell,Western Michigan,2,3,9.05,19,6,0,0,1,55.2,80,61,56,29,48,7,11,0.329
Jacob Curry,USC Upstate,5,4,5.31,14,14,1,1,0,78,94,55,46,16,47,6,10,0.3
Andy Archer,Hawaii,2,5,5.04,19,12,0,0,1,60.2,73,42,34,18,47,0,3,0.291
Devin Desandro,Nicholls,3,4,4.92,16,9,1,0,1,60.1,62,43,33,30,47,6,10,0.263
Devin Smith,Utah Valley,1,4,6.6,14,11,0,0,0,60,74,55,44,42,47,18,7,0.306
Brian Williams,Texas Southern,4,2,6.15,13,12,0,0,0,60,76,49,41,26,47,6,14,0.311
Chic DeGaetano,Villanova,4,0,5.79,17,9,0,0,0,51.1,45,36,33,25,47,6,6,0.234
Tripp Breen,St. Bonaventure,1,7,8.57,13,10,0,0,0,48.1,59,55,46,42,47,7,6,0.301
Jaykob Acosta,CSU Bakersfield,3,7,4.73,16,9,0,0,0,72.1,75,49,38,32,46,6,18,0.274
Tim Blaisdell,Hartford,3,7,6.25,14,14,1,0,0,72,101,61,50,19,46,11,11,0.334
Joe Todd,Stephen F. Austin,1,7,7.18,13,13,0,0,0,67.2,81,58,54,31,46,16,5,0.298
Chase Hungate,VCU,6,4,3.57,21,0,0,0,0,63,62,38,25,14,46,4,7,0.245
Damon Elarton,Arkansas-Pine Bluff,3,7,9.29,15,13,0,0,0,62,90,78,64,31,46,6,30,0.347
Brett Russell,New Mexico,1,6,8.7,15,14,0,0,0,59,107,69,57,29,46,9,6,0.386
Adrian Santa Cruz,CSU Bakersfield,1,4,5.52,15,12,0,0,0,58.2,88,46,36,16,46,3,9,0.353
Nick Powers,Michigan State,3,7,6.29,13,11,0,0,0,58.2,69,46,41,28,46,0,5,0.3
Nico Saltaformaggio,Nicholls,3,1,5.01,18,8,0,0,0,55.2,64,37,31,24,46,6,8,0.29
Evan Esch,St. Thomas,1,5,5.55,14,8,0,0,0,48.2,49,32,30,17,46,4,8,0.258
Zach Fogell,Brown,0,4,6.46,12,10,0,0,0,39,50,37,28,23,46,9,6,0.309
Ryan Peterson,George Mason,4,3,3.93,16,10,1,1,0,73.1,74,37,32,39,45,5,2,0.266
Charlie Hurley,Southern California,6,2,4.19,16,13,0,0,0,73,68,38,34,32,45,7,12,0.253
Austin Odell,Bucknell,8,2,3.82,12,12,2,0,0,73,71,31,31,27,45,13,5,0.254
Victor Mendoza,Prairie View,6,7,7.8,15,15,0,0,0,72.2,104,76,63,27,45,11,13,0.342
Matt Stamford,Lehigh,3,6,5.68,13,12,0,0,0,63.1,82,47,40,22,45,9,8,0.313
Vincent Vitacco,Rider,3,2,4.79,17,11,0,0,1,62,75,38,33,23,45,5,13,0.304
Tyler Lehrmann,South Alabama,3,2,5.22,18,12,0,0,0,60.1,66,41,35,32,45,7,4,0.286
Jacob Wosinski,Oakland,2,5,5.86,14,13,0,0,1,58.1,79,48,38,25,45,8,6,0.317
Tristan Weaver,Cincinnati,5,7,6.34,14,12,1,0,0,55.1,64,43,39,29,45,4,9,0.284
Spencer Edwards,Cornell,2,8,8.46,13,12,0,0,0,55.1,56,59,52,36,45,2,12,0.256
Tom Chmielewski,Princeton,2,7,8.61,12,11,0,0,0,54.1,91,62,52,17,45,3,5,0.363
Jordan Haddaway,Delaware State,5,3,6.8,12,12,0,0,0,50.1,61,42,38,29,45,11,9,0.308
Zach Davidson,Radford,1,5,6.75,13,13,1,1,0,48,50,42,36,28,45,5,6,0.269
Josue Torres,Alabama A&M,3,5,6.02,15,10,1,1,0,83.2,105,58,56,18,44,9,2,0.303
Brandon Llewellyn,Pepperdine,3,7,4.14,13,13,0,0,0,71.2,78,40,33,20,44,7,3,0.278
Chandler Fochs,Western Illinois,2,7,7.08,13,11,2,0,0,67.1,99,69,53,20,44,12,4,0.344
Brett Hagen,Oakland,4,3,6.79,16,9,1,0,0,65,74,51,49,20,44,9,7,0.289
Josh Farmer,Mercer,6,3,4.69,15,14,0,0,0,63.1,75,43,33,22,44,3,1,0.293
Ryan Brady,BYU,4,3,3.73,14,11,0,0,0,60.1,57,26,25,17,44,1,4,0.247
Jacob Weatherley,Little Rock,1,3,8.15,24,7,0,0,3,53,79,58,48,32,44,7,6,0.341
Nate Freeman,UC Davis,1,1,6.41,14,5,0,0,0,71.2,84,55,51,34,43,11,18,0.295
Jared Feikes,Santa Clara,5,6,4.81,18,9,0,0,1,67.1,70,40,36,26,43,0,3,0.267
Ryan Murphy,James Madison,4,2,3.86,14,11,0,0,0,65.1,64,30,28,12,43,1,4,0.253
Calvin Kirchoff,Washington,3,3,5.46,19,13,0,0,0,64.1,69,39,39,30,43,5,2,0.271
Tyler Tuthill,Appalachian State,2,7,7.23,13,13,0,0,0,61,81,51,49,42,43,5,7,0.323
Chase Gearing,Nicholls,5,3,4.75,23,4,0,0,4,60.2,60,40,32,19,43,4,8,0.255
Austin Nichols,North Alabama,2,9,10.59,20,13,1,1,0,60.1,94,74,71,28,43,8,6,0.356
Carson Rollins,Incarnate Word,2,1,5.62,15,11,0,0,0,57.2,69,39,36,19,43,1,13,0.294
Zach Tsakounis,William & Mary,5,3,4.82,17,13,0,0,0,56,59,35,30,26,43,4,7,0.267
Dillon Holliday,Dixie State,3,8,6.79,18,11,0,0,0,55.2,78,50,42,37,43,8,2,0.344
Justin Murray,Dartmouth,4,3,7.57,11,11,0,0,0,52.1,65,44,44,23,43,3,6,0.307
Cole Larsen,Kansas,1,9,8.47,15,14,1,0,0,79.2,120,83,75,31,42,7,5,0.34
JoJo Booker,South Alabama,4,2,5.4,14,10,0,0,0,63.1,55,43,38,22,42,2,14,0.238
Zane Taylor,UNC Wilmington,4,1,4.03,13,11,0,0,0,60.1,59,30,27,11,42,2,6,0.251
Matthew Sapienza,Georgetown,2,4,6.45,17,10,0,0,0,60,69,45,43,19,42,5,5,0.29
Jacob Josey,Florida Atlantic,4,5,5.85,16,5,0,0,1,60,70,41,39,28,42,4,5,0.287
Josh O'Neill,Stony Brook,7,3,3.97,16,5,0,0,3,59,53,28,26,33,42,5,1,0.244
Bay Witcher,Troy,3,4,8.05,16,12,0,0,0,57,85,55,51,23,42,8,7,0.351
Jeremiah Priddy,UC Riverside,0,3,5.23,16,9,0,0,0,53.1,62,42,31,26,42,11,8,0.29
Carter Rustad,Missouri,3,2,4.73,16,3,0,0,1,51.1,50,29,27,15,42,3,5,0.255
Jermel Ford,Alcorn State,0,9,9.37,12,10,0,0,0,49,67,69,51,39,42,6,11,0.322
Tim Williamson,Harvard,3,3,6.14,13,8,0,0,0,44,41,32,30,37,42,9,6,0.241
Andrew Potojecki,Longwood,6,6,5.45,13,13,0,0,0,67.2,84,44,41,21,41,5,6,0.311
Conner Tomasic,Michigan State,4,4,4.43,17,9,0,0,0,65,64,39,32,26,41,2,10,0.256
Will Lancaster,Charlotte,4,2,5.68,15,15,0,0,0,65,62,41,41,29,41,1,11,0.252
David Litchfield,UCF,4,2,5.34,21,8,0,0,0,64,76,42,38,11,41,1,7,0.292
Shea Sprague,Elon,6,3,1.89,19,10,0,0,0,62,50,19,13,13,41,1,5,0.215
Luke Smith,Saint Joseph's,4,5,6.12,14,14,0,0,0,60.1,91,59,41,17,41,7,7,0.341
Kyle Khachadourian,New Orleans,5,2,4.42,16,10,0,0,0,57,54,33,28,21,41,3,8,0.256
Joe Sheets,Columbia,2,2,6.04,13,11,0,0,0,53.2,76,39,36,24,41,3,1,0.332
Justin Walton,Norfolk State,2,4,5.81,16,3,0,0,1,52.2,58,59,34,33,41,18,12,0.272
Carter Lovasz,William & Mary,2,1,2.94,16,3,0,0,5,52,32,21,17,12,41,3,9,0.179
Nolan Morr,Lafayette,2,5,5.26,14,6,0,0,1,51.1,73,42,30,9,41,0,3,0.336
Matthew Dubois,Saint Peter's,2,8,9,14,13,1,0,0,79,121,93,79,37,40,2,8,0.346
Edwin Almanzar Jr.,Hartford,3,5,6.68,17,6,0,0,0,63.1,67,55,47,35,40,8,6,0.273
Cole Cressend,UL Monroe,3,6,7.08,15,12,0,0,0,61,66,53,48,25,40,7,4,0.267
Matt Haley,New Mexico,2,5,8.85,15,10,0,0,0,59,90,69,58,21,40,7,13,0.347
Jake Noviello,Fairfield,3,2,5.8,13,13,1,1,0,59,61,40,38,36,40,6,10,0.271
Evan Nibblett,UMES,2,2,3.43,11,9,1,1,0,57.2,59,30,22,9,40,2,9,0.268
Jake Jackson,Baylor,4,5,8.48,16,10,0,0,1,57.1,90,60,54,19,40,3,3,0.37
Tyler O'Neill,Bucknell,3,4,3.81,14,5,1,0,0,54.1,52,25,23,25,40,5,3,0.259
Anthony Mozzicato,Central Connecticut,7,4,3.25,13,13,0,0,0,69.1,66,32,25,36,39,2,6,0.251
Mason Gray,Utah Valley,3,5,6.31,14,14,0,0,0,61.1,75,49,43,34,39,6,8,0.306
Tyler Arella,Villanova,5,3,5.07,14,11,0,0,0,60.1,74,37,34,23,39,1,4,0.307
Tyler Stromsborg,Southern California,1,5,4.18,12,12,0,0,0,60.1,70,36,28,18,39,5,6,0.29
Jacob Bradshaw,North Alabama,1,8,8.84,13,11,0,0,0,56,61,60,55,42,39,9,10,0.279
Colin Wyman,Illinois State,3,2,3.69,18,6,0,0,3,53.2,51,28,22,11,39,4,8,0.248
Colton Shaw,Yale,2,5,7.21,11,10,0,0,0,53.2,64,44,43,28,39,3,5,0.296
Paxton Meyers,Brown,4,2,3.16,19,0,0,0,1,37,31,16,13,15,39,8,3,0.223
Jaden Agassi,Southern California,3,2,4.34,15,10,0,0,0,64.1,81,37,31,19,38,8,8,0.31
Sam Stoutenborough,California,2,4,5.58,17,8,0,0,0,59.2,73,41,37,8,38,6,3,0.304
Brandon Mitchell,New Orleans,1,6,5.61,13,12,1,0,0,59.1,59,41,37,33,38,6,12,0.268
Brady Liddle,Seattle,2,5,6.4,14,12,0,0,0,57.2,80,43,41,12,38,3,5,0.327
Luke Pryor,Mount St. Mary's,1,5,7.9,11,8,1,0,0,54.2,73,57,48,37,38,4,12,0.316
Kyle Mahady,Saint Peter's,3,8,8.81,15,14,1,0,0,80.2,130,89,79,34,37,6,12,0.362
Sean Sposato,Rhode Island,1,4,4.35,17,7,1,0,2,58,64,35,28,29,37,6,6,0.283
Jack Gannon,Saint Peter's,1,8,11.09,24,8,0,0,0,56,94,76,69,27,37,15,7,0.369
Cameron Knox,Fordham,3,4,8.62,17,7,0,0,0,55.1,72,54,53,35,37,2,11,0.329
Drew Necochea,California Baptist,8,3,3.42,16,14,1,1,0,68.1,68,38,26,21,36,5,9,0.257
Cam Day,Utah,1,6,7.22,14,14,0,0,0,62.1,87,56,50,24,36,4,8,0.332
Matt McClure,Loyola Marymount,3,6,8.03,17,11,0,0,0,61.2,87,64,55,32,36,6,5,0.345
Quinn Lavelle,Loyola Marymount,1,5,6.02,16,12,0,0,0,58.1,79,49,39,22,36,4,9,0.329
Trenton Ferguson,Arkansas-Pine Bluff,3,8,10.67,18,9,2,0,0,55.2,84,76,66,36,36,12,23,0.362
Benny Emmons III,Stephen F. Austin,4,4,8.13,18,8,1,1,0,55.1,70,53,50,20,36,4,16,0.315
Justin Honeycutt,UNC Asheville,4,2,1.73,16,2,0,0,2,52,40,17,10,16,36,7,2,0.214
Ben Magovern,Bucknell,2,5,6.53,12,10,0,0,0,51,62,42,37,22,36,6,4,0.297
Bryant Shives,Mount St. Mary's,1,3,9.74,14,8,0,0,0,49,69,63,53,34,36,0,11,0.34
Zach Patterson,Pacific,1,7,6.96,14,11,0,0,0,63.1,67,49,49,29,35,11,8,0.268
Anthony Fett,Akron,0,10,8.71,13,13,2,0,0,61,86,68,59,23,35,8,5,0.333
Nestor German,Seattle,2,4,6.99,14,10,0,0,0,56.2,71,51,44,31,35,5,7,0.314
Santhosh Gottam,Brown,4,5,5.52,14,5,0,0,0,44,55,31,27,10,35,6,3,0.311
Cody Carlson,South Dakota State,7,5,3.66,13,12,1,1,0,64,62,32,26,16,34,1,8,0.252
Brandon Lashley,Stony Brook,2,3,5.07,14,10,0,0,0,60.1,66,36,34,21,34,1,3,0.28
Kaden Riccomini,UC Davis,2,5,5.93,12,4,0,0,0,57.2,75,44,38,18,34,5,4,0.329
Joe Richter,Stephen F. Austin,3,4,5.21,11,10,0,0,0,55.1,59,37,32,15,34,4,8,0.266
Tyler Frazier,UC Riverside,0,8,7.93,14,13,0,0,0,53.1,73,53,47,37,34,10,13,0.336
Matthew Shirah,Navy,3,2,5.51,11,11,0,0,0,49,59,32,30,16,34,1,8,0.296
Brooks Walton,UAB,6,5,4.68,14,14,1,0,0,65.1,75,42,34,15,33,3,4,0.287
Nick Crandell,Western Michigan,2,6,7.19,15,10,1,0,0,61.1,94,52,49,18,33,6,2,0.356
Brian Raymond,Western Illinois,0,6,6.79,17,10,0,0,0,54.1,57,44,41,31,33,17,11,0.279
Daniel Hegarty,Kansas,6,6,5.33,18,9,2,0,0,72.2,88,53,43,20,32,1,10,0.3
Aaron Eden,San Jose State,6,3,6.55,17,12,0,0,0,67.1,89,58,49,28,32,7,4,0.325
Fynn Chester,Cal State Fullerton,3,1,2.3,23,6,1,1,0,62.2,59,20,16,12,32,2,1,0.25
Seth Petry,Tennessee-Martin,2,9,7.43,15,8,0,0,0,59.1,77,61,49,25,32,9,6,0.318
Sean Sinisko,Illinois State,2,5,5.03,13,13,0,0,0,53.2,69,31,30,16,32,8,1,0.309
Isaiah Valenzuela,Mississippi Valley State,3,6,10.01,20,8,0,0,1,50.1,87,72,56,34,32,12,10,0.395
Jake Babuschak,Sacred Heart,2,8,8.59,15,9,0,0,0,58.2,79,67,56,29,31,6,13,0.315
Nate Mitchell,Navy,2,3,6.43,10,10,0,0,0,49,76,40,35,2,31,0,4,0.347
Peter Carreca,Delaware State,3,2,4.28,13,8,1,0,1,48.1,51,26,23,21,31,8,3,0.273
Eric Marrujo,UC Riverside,2,7,8.52,15,10,1,0,0,56,74,54,53,28,30,2,13,0.325
Cedric Gillette,Merrimack,4,6,6.92,14,14,0,0,0,67.2,86,57,52,24,29,4,11,0.314
Tucker Juline,UC Riverside,2,7,7.49,19,9,0,0,0,57.2,76,54,48,25,29,4,6,0.322
Brenden Roder,Ohio,4,3,4.94,14,9,0,0,0,54.2,68,42,30,10,29,1,7,0.296
Luke Roggenburk,St. Bonaventure,1,5,6.89,22,7,0,0,0,47,59,43,36,28,29,5,5,0.299
Liam Golden,Navy,3,7,5.4,11,10,1,0,0,45,50,30,27,11,28,4,7,0.275
Andrew D'Alessio,Princeton,1,6,7.63,11,11,0,0,0,61.1,74,63,52,40,26,4,7,0.301
Kevin Warunek,Longwood,4,4,6.41,14,14,0,0,0,53.1,67,43,38,20,26,3,7,0.312
Drew Helmstetter,Iona,2,2,6.19,10,7,0,0,0,48,58,38,33,20,26,3,4,0.287
Chris Ellison,Cornell,0,1,8.06,18,4,0,0,0,41.1,59,41,37,24,26,3,3,0.339
Jake Rappaport,New Jersey Tech,3,7,7.86,21,9,0,0,2,63,89,59,55,33,25,7,9,0.333
Austin Guzman,Alcorn State,2,7,13.5,15,11,0,0,0,43.1,74,72,65,45,25,13,10,0.398
Noah Whitted,Alabama A&M,2,5,7.14,11,11,0,0,0,51.2,72,52,41,17,23,5,8,0.34
Logan Koester,George Washington,3,2,4.73,14,6,0,0,0,53.1,61,31,28,13,22,2,5,0.289
Luke Fox,,,,6.34,,,,,,,,,,,,,,
Connor Tomasic,,,,4.43,,,,,,,,,,,,,,
Connor Bovair,,,,5.5,,,,,,,,,,,,,,
Ryan Prager,,,,5.16,,,,,,,,,,,,,,
Cam Brown,,,,4.42,,,,,,,,,,,,,,
Blake Money,,,,5.31,,,,,,,,,,,,,,
"	
Caleb Reinhardt",,,,6.31,,,,,,,,,,,,,,
Zachary Maxwell,,,,5.26,,,,,,,,,,,,,,
Joseph Menefee,,,,5.6,,,,,,,,,,,,,,
John Medich,,,,6.75,,,,,,,,,,,,,,
Cameron Walty,,,,5.04,,,,,,,,,,,,,,
Ethan Flanagan,,,,3.28,,,,,,,,,,,,,,
Liam Sullivan,,,,4.62,,,,,,,,,,,,,,
Trey Horton,,,,4.42,,,,,,,,,,,,,,
Cade Horton,,,,4.86,,,,,,,,,,,,,,
Carson Montgomery,,,,5,,,,,,,,,,,,,,
Cade Austin,,,,3.17,,,,,,,,,,,,,,
Gabe Karslo,,,,6.62,,,,,,,,,,,,,,
Christopher Cortez,,,,4.91,,,,,,,,,,,,,,
Dylan Johnson,,,,4.94,,,,,,,,,,,,,,
Kyle Gamble,,,,6.65,,,,,,,,,,,,,,
Jake Brooks,,,,3.96,,,,,,,,,,,,,,
Grant Holderfield,,,,7.4,,,,,,,,,,,,,,
Connor Linn,,,,4.07,,,,,,,,,,,,,,
Seth Keener,,,,5.87,,,,,,,,,,,,,,
Evan Yates,,,,5.11,,,,,,,,,,,,,,
Davis Palermo,,,,2.78,,,,,,,,,,,,,,
Thomas Burbank,,,,6.44,,,,,,,,,,,,,,
Roman Phansalkar,,,,3.46,,,,,,,,,,,,,,
Cooper Stinson,,,,7.01,,,,,,,,,,,,,,
