Pitcher,Year,PitcherThrows,Strike_Percent,K_BB,median_Distance,median_ExitSpeed,median_Extension,median_RelSpeed_Fastball,median_RelSpeed_Slider,median_RelSpeed_Curveball,median_RelSpeed_ChangeUp,median_SpinRate_Fastball,median_SpinRate_Slider,median_SpinRate_Curveball,median_SpinRate_ChangeUp,median_SpinAxis_Fastball,median_SpinAxis_Slider,median_SpinAxis_Curveball,median_SpinAxis_ChangeUp,median_PlateLocHeight_Fastball,median_PlateLocHeight_Slider,median_PlateLocHeight_Curveball,median_PlateLocHeight_ChangeUp,median_PlateLocSide_Fastball,median_PlateLocSide_Slider,median_PlateLocSide_Curveball,median_PlateLocSide_ChangeUp,median_VertApprAngle_Fastball,median_VertApprAngle_Slider,median_VertApprAngle_Curveball,median_VertApprAngle_ChangeUp,median_HorzApprAngle_Fastball,median_HorzApprAngle_Slider,median_HorzApprAngle_Curveball,median_HorzApprAngle_ChangeUp,median_Angle_Fastball,median_Angle_Slider,median_Angle_Curveball,median_Angle_ChangeUp,median_InducedVertBreak_Fastball,median_InducedVertBreak_Slider,median_InducedVertBreak_Curveball,median_InducedVertBreak_ChangeUp,median_HorzBreak_Fastball,median_HorzBreak_Slider,median_HorzBreak_Curveball,median_HorzBreak_ChangeUp,ERA
"Sharp, Reese",2022,RIGHT,0.5202952029520295,2.5294117647058822,164.777865,78.29894,5.74933,92.34885,80.87944,77.50866500000001,NA,2235.2758685,2674.183515,2623.378671,NA,209.5453745,97.682755,29.257067,NA,2.7391,1.95216,1.948605,NA,-0.07404,-0.47782,-0.17475000000000002,NA,-4.964268,-8.055505,-10.052992,NA,-1.476771,-4.409056,-3.4451275,NA,27.234437,11.304408,9.099424500000001,NA,20.160895,3.26835,-15.2706,NA,10.857800000000001,-11.70477,-8.8667,NA,6.42
"Sharpe, Davis",2019,RIGHT,0.5505050505050505,2.875,159.519437,84.76843632,6.609059201,87.42796,73.98151295,73.83333232499999,81.84722724,1963.335486,2661.53407,2757.168253,1659.6631175,176.1633358,79.94052434,87.06001432,221.70083970000002,2.775246325,2.3120195525,2.39407993,2.4082951615,-0.508725379,-0.46675390250000004,-0.275842584,0.7952454840000001,-5.842597189,-8.921019725499999,-8.660566271499999,-7.106976027,-2.238702964,-3.3438597045,-3.60875075,-0.305241121,13.68842862,12.38786032,33.47589253,12.41069565,9.885532171,-2.659863369,-0.9789259969999999,5.451562976,-0.674340677,-13.91094721,-17.146751635,5.6664782905,3.2
"Sharts, Owen",2019,RIGHT,0.5773195876288659,1,174.40502535,82.553521965,6.065305933,87.15430746,NA,71.47278878,NA,2159.135693,NA,2290.355322,NA,210.6275596,NA,29.18900361,NA,2.288441997,NA,1.886237655,NA,0.073878859,NA,-0.076005451,NA,-6.066018354,NA,-11.27641423,NA,0.056802101,NA,-1.984476,NA,13.951892175000001,NA,-25.37785876,NA,16.35614427,NA,-18.2610797,NA,10.04753525,NA,-10.85063584,NA,5.96
"Shaw, Colton",2022,RIGHT,0.6168831168831169,1.1,168.3149,82.63298499999999,5.537865,87.99629,79.26981,78.33141,75.52339,1873.3358515,2135.952118,2328.8744829999996,1777.30493,212.876014,93.087766,58.3636245,249.196716,2.5835150000000002,2.06847,1.9089049999999999,1.79244,0.19143500000000002,-0.35046,-0.590665,-0.15465,-5.771362,-8.225134,-9.051424,-8.190591,-0.250135,-2.610282,-2.8789525,0.011281,27.103256,19.0736865,0.47747349999999994,3.823066,18.495125,1.9026,-2.28435,9.3991,11.11959,-5.38693,-6.67073,18.76084,7.21
"Sheehan, Tommy",2019,LEFT,0.5289672544080605,1.6666666666666667,176.1433903,86.92381333,5.88301813,89.115754775,76.35842871,NA,NA,2034.6688410000002,1955.198088,NA,NA,128.3863258,233.2541378,NA,NA,2.526215755,1.8244133325,NA,NA,-0.0313857305,0.0176513145,NA,NA,-5.605011262,-8.2186193995,NA,NA,0.854264473,2.8891248645000003,NA,NA,20.58296456,25.883460999999997,NA,NA,13.033581694999999,4.390891161000001,NA,NA,-16.22229347,5.0166266145,NA,NA,4.58
"Sheets, Joe",2022,RIGHT,0.5508982035928144,2,191.30678,82.79669,5.59744,87.81821,80.56117499999999,NA,NA,1935.4088445,2291.754793,NA,NA,221.6188875,102.5219755,NA,NA,2.11293,1.94361,NA,NA,-0.18353999999999998,-0.321955,NA,NA,-6.6215995,-8.345006,NA,NA,-0.9920275000000001,-3.3033210000000004,NA,NA,19.413542,36.8089245,NA,NA,13.15048,3.9280150000000003,NA,NA,11.387505,-9.86223,NA,NA,6.04
"Sheppard, Carter",2022,RIGHT,0.5264750378214826,2.125,140.77733,86.77678,5.71446,91.03869,82.91313,83.55434,82.9798,2069.121678,1987.032822,1985.8161075,2079.957999,227.06089,236.619777,243.733727,239.888297,2.23791,1.23895,0.9558249999999999,1.60012,0.05704,-0.48852,-0.860085,-0.03672,-5.988879,-8.719396,-8.494682999999998,-7.704942,-1.377235,-3.065841,-3.459349,-1.684092,15.727804,10.5133805,13.836007,6.825444,15.62221,2.85579,3.190435,9.62784,15.55584,2.75394,3.369765,15.81859,4.66
"Shirah, Matthew",2022,RIGHT,0.6190476190476191,1,140.65051,84.41633,5.42479,84.32755,77.01462000000001,NA,NA,2067.633858,2058.560125,NA,NA,211.119207,110.38737950000001,NA,NA,2.55248,2.26844,NA,NA,-0.03785,0.055760000000000004,NA,NA,-5.880292,-7.5803725,NA,NA,-0.863797,-2.6821365,NA,NA,17.338518,19.586174,NA,NA,16.21084,2.8485050000000003,NA,NA,9.62367,-6.578445,NA,NA,5.51
"Shirk, Jake",2022,RIGHT,0.5405405405405406,1.8,182.27397000000002,84.201255,5.7063,91.44498,NA,75.93385,81.595665,1914.8081505,NA,1563.587945,1540.9012765,221.76424,NA,23.959723,253.815043,2.75484,NA,2.78434,1.860155,-0.11717,NA,0.35764,0.17083500000000001,-5.154134,NA,-9.01163,-7.420577,-0.754246,NA,-1.855106,-0.3910925,25.009244,NA,22.6353865,10.045115,14.9482,NA,-10.25426,5.743055,13.07749,NA,-4.73575,15.906880000000001,5.55
"Shives, Bryant",2022,RIGHT,0.5319148936170213,0.5,130.544605,90.7011,5.429,85.15041500000001,74.54586,NA,NA,2079.116331,2191.1903604999998,NA,NA,232.409696,73.1554435,NA,NA,2.855755,1.87717,NA,NA,-0.566845,-0.217395,NA,NA,-4.923236,-8.429699,NA,NA,-2.4393895,-3.8339365,NA,NA,9.564283,14.5456975,NA,NA,12.796289999999999,-0.48972499999999997,NA,NA,15.51107,-7.8928,NA,NA,9.74
"Shoultz, Andrew",2022,RIGHT,0.5419354838709678,6.5,196.352405,90.986465,5.99157,89.39567,NA,75.8267,81.82261,2372.6910235,NA,2436.129551,2246.7227215000003,190.17180150000002,NA,17.070522,214.73997200000002,2.47199,NA,1.81782,2.6462849999999998,0.31845500000000004,NA,-0.10302,0.78339,-5.9658999999999995,NA,-10.589781,-7.050121,0.4419105,NA,-0.859159,0.203321,23.31599,NA,18.588006,46.1260165,21.400365,NA,-9.56595,17.77977,3.3887650000000002,NA,-2.43433,11.723315,4.87
"Showalter, Justin",2022,RIGHT,0.4972375690607735,3.3333333333333335,150.98676,76.53788,5.40849,91.038885,85.12889,NA,NA,2335.9472530000003,2294.396058,NA,NA,248.4593195,211.892378,NA,NA,2.26975,1.70983,NA,NA,-0.02379,-0.37627,NA,NA,-5.742644,-6.574722,NA,NA,-1.186398,-3.207581,NA,NA,17.381062,22.277215,NA,NA,8.76847,6.70575,NA,NA,19.857095,3.61319,NA,NA,5.1
"Shuck, Tyler",2022,RIGHT,0.5568181818181818,3,217.71347500000002,79.1735,5.375405,88.719275,77.88563,NA,79.38302,1920.0874945,1753.014388,NA,1419.421522,208.5645845,34.875753,NA,219.467179,2.4571050000000003,1.69143,NA,1.81758,0.63146,-0.29159,NA,0.54694,-6.071730499999999,-9.746723,NA,-7.842359,0.490727,-1.666458,NA,0.206648,43.726109,9.14997,NA,20.385813,18.23879,-5.08902,NA,11.71516,9.18038,-2.97469,NA,9.02434,4.36
