Pitcher,Year,PitcherThrows,Strike_Percent,K_BB,median_Distance,median_ExitSpeed,median_Extension,median_RelSpeed_Fastball,median_RelSpeed_Slider,median_RelSpeed_Curveball,median_RelSpeed_ChangeUp,median_SpinRate_Fastball,median_SpinRate_Slider,median_SpinRate_Curveball,median_SpinRate_ChangeUp,median_SpinAxis_Fastball,median_SpinAxis_Slider,median_SpinAxis_Curveball,median_SpinAxis_ChangeUp,median_PlateLocHeight_Fastball,median_PlateLocHeight_Slider,median_PlateLocHeight_Curveball,median_PlateLocHeight_ChangeUp,median_PlateLocSide_Fastball,median_PlateLocSide_Slider,median_PlateLocSide_Curveball,median_PlateLocSide_ChangeUp,median_VertApprAngle_Fastball,median_VertApprAngle_Slider,median_VertApprAngle_Curveball,median_VertApprAngle_ChangeUp,median_HorzApprAngle_Fastball,median_HorzApprAngle_Slider,median_HorzApprAngle_Curveball,median_HorzApprAngle_ChangeUp,median_Angle_Fastball,median_Angle_Slider,median_Angle_Curveball,median_Angle_ChangeUp,median_InducedVertBreak_Fastball,median_InducedVertBreak_Slider,median_InducedVertBreak_Curveball,median_InducedVertBreak_ChangeUp,median_HorzBreak_Fastball,median_HorzBreak_Slider,median_HorzBreak_Curveball,median_HorzBreak_ChangeUp,ERA
"Abrahamowicz, Andrew",2019,RIGHT,0.5232558139534884,2,171.747607,84.01994668500001,5.437193301,82.072130225,NA,76.007471775,NA,2100.6032455,NA,1920.5077649999998,NA,222.60555340000002,NA,161.41556885,NA,2.3390863675,NA,2.5075614760000002,NA,0.14496660299999997,NA,0.0577075845,NA,-6.142454224,NA,-7.184397389,NA,-0.397070084,NA,-1.9070486835,NA,11.15219947,NA,19.55630639,NA,13.858107825,NA,9.179520272000001,NA,13.044143179999999,NA,-3.2573550565,NA,3.11
"Abrahamowicz, Andrew",2022,RIGHT,0.47058823529411764,2,135.55433,87.53399,5.071540000000001,84.84481,79.03167,NA,NA,2225.084171,2153.413583,NA,NA,231.357461,182.768612,NA,NA,2.91725,2.25328,NA,NA,0.26806,-0.49249,NA,NA,-5.655967,-7.689985,NA,NA,0.274575,-1.875169,NA,NA,13.500679,18.7358555,NA,NA,13.9065,3.75374,NA,NA,16.3691,0.21524,NA,NA,8.45
"Adametz, Joe",2022,LEFT,0.51,3.6363636363636362,53.96861,79.15488,5.293875,89.98715999999999,80.36838,NA,83.16143,2006.246037,2274.80788,NA,2087.488967,121.4378995,180.280987,NA,117.66989,1.9939550000000001,1.64524,NA,1.61927,-0.028745,0.41178,NA,-0.10494,-6.836505000000001,-8.581588,NA,-7.741125,0.22708450000000002,2.097252,NA,0.273012,6.8243,15.321851,NA,15.192626,11.21038,1.73638,NA,9.86288,-16.384245,0.00563,NA,-16.43627,2.51
"Adams, Blake",2022,RIGHT,0.53220696937698,2.0416666666666665,96.0982,81.53461,5.729765,91.687735,84.76874,78.96433,84.88256000000001,2283.0713020000003,2363.759677,2408.266299,1643.9545395,198.714608,118.507194,19.500756,244.2407455,2.31342,2.06015,1.98651,1.952005,0.36401,-0.07677,0.49793,0.6632849999999999,-5.45956,-7.484682,-9.87519,-7.0883395,-1.613934,-2.959871,-2.152784,-0.85726,20.336815,14.0630325,-1.3768764999999998,18.01953,16.76617,2.38862,-14.10363,6.863135,5.2937650000000005,-2.80807,-4.90217,13.165600000000001,5.07
"Adams, Connor",2022,LEFT,0.4810126582278481,2,167.832265,76.2859,6.23774,86.135305,NA,75.085385,NA,2123.121568,NA,2525.683261,NA,140.29429800000003,NA,307.60184000000004,NA,2.9460300000000004,NA,2.265215,NA,-0.861775,NA,-0.303765,NA,-4.967855500000001,NA,-8.5803925,NA,0.536097,NA,3.0465225,NA,11.346936,NA,6.555141,NA,15.126625,NA,-5.05026,NA,-11.012350000000001,NA,9.257819999999999,NA,5.86
"Adams, Mason",2022,RIGHT,0.6434782608695652,1,132.62478,81.39437,5.81542,90.961455,82.404765,NA,85.94003,2400.662328,2653.431245,NA,1674.899416,226.00787250000002,64.30803900000001,NA,253.358337,2.26763,1.79764,NA,1.30255,0.12413,-0.383805,NA,0.25222,-5.397176,-7.7808325,NA,-7.390438,-0.2511425,-2.637225,NA,0.086496,19.573486,31.214794,NA,3.664419,13.214065,-3.35825,NA,5.74559,13.258295,-7.515675,NA,15.67906,4.8
"Agassi, Jaden",2022,RIGHT,0.5492537313432836,1.8666666666666667,139.533275,84.672985,6.10197,88.417745,81.6177,76.94825499999999,82.1083,1933.0570965,1991.123002,2288.0911285,1752.276151,211.737896,150.436474,40.1019125,237.734364,2.648025,2.045845,2.25221,1.88213,-0.041575,-0.42657,-0.377155,0.17894500000000002,-5.512544500000001,-7.770201500000001,-8.978672,-7.385225999999999,-0.5574055,-2.705306,-2.0480475,-0.214194,24.37858,12.742812,14.02541,12.9572395,18.265105,5.238645,-5.140454999999999,10.380145,10.603945,-2.06333,-6.474,14.91922,4.34
"Agnew, Josh",2021,RIGHT,0.5191815856777494,3.5,161.71374329999998,86.990430425,5.80508977,88.80712183,81.29537096499999,NA,80.75288184,2258.479144,2208.9715834999997,NA,1803.527126,229.442805,192.85254379999998,NA,243.0810557,2.633794443,2.0537695545,NA,1.770522709,0.319457426,-0.8007028190000001,NA,0.149132677,-5.648922007,-7.5323100585,NA,-7.483134321,-1.162239756,-3.707878425,NA,-1.298899141,18.367144,17.1990304195,NA,7.985897517,14.88410895,8.643743158,NA,9.5932436,17.89217761,2.215479728,NA,19.32235701,3.06
"Agnos, Jake",2019,LEFT,0.49834437086092714,4.357142857142857,174.6814985,83.72188821,5.148093631,89.89330282,NA,74.967103065,81.78786053,2317.831851,NA,1900.2210479999999,1636.233722,154.03015825,NA,312.3728871,139.369166,2.6449232765,NA,1.7774125285,2.8039343425,0.0277589195,NA,-0.14001640599999998,-0.4353649295,-5.243739236,NA,-10.084185375,-6.343962900499999,0.6208182664999999,NA,1.428063914,0.26522859849999997,19.70813122,NA,22.50595878,0.01886478549999998,20.14810093,NA,-4.4563574245,14.971575009999999,-9.962914476,NA,0.9686724895000001,-12.269072635,2.29
"Aldaz, Jesus",2022,RIGHT,0.5972222222222222,0.75,189.99588,80.39787,5.813549999999999,90.46626,NA,NA,81.29094,2058.518927,NA,NA,1959.112565,215.974388,NA,NA,261.71034,2.82445,NA,NA,1.92314,0.2785,NA,NA,0.39023,-4.952889,NA,NA,-7.464362,-0.246315,NA,NA,0.266481,37.134015,NA,NA,12.455539,16.59402,NA,NA,3.97858,10.76505,NA,NA,15.928,5.35
"Allen, Chase",2022,RIGHT,0.5389830508474577,2.25,156.44738,85.55066,5.58974,90.50834499999999,79.658905,78.53342,84.56599,2189.6205465,2159.3244055,2136.655031,1433.329953,207.36301350000002,87.544004,50.84605,225.034994,2.454935,1.8301500000000002,2.53583,1.84231,-0.0018850000000000002,-0.439955,-0.2991,-0.15494,-6.032812,-9.0868955,-9.429824,-8.1478015,-0.880109,-2.743324,-2.27741,-1.5023995,23.099833,13.2983815,2.913837,10.098962499999999,18.436605,1.09902,-3.90732,8.01441,8.85721,-5.36331,-6.29772,8.30304,4.01
"Anglin, Mack",2022,RIGHT,0.5470232959447799,1.9714285714285715,66.061,81.701955,5.49742,93.21468,83.22537,80.36756,84.211705,2365.3548955,3043.366043,2996.838113,1690.8228505,217.94879600000002,72.697092,59.4990305,230.91661950000002,2.36587,1.8644,1.9800900000000001,1.607555,-0.13066,-0.52681,-0.03274,-0.37173500000000004,-5.7393055,-8.417266,-9.6136315,-7.366011,-0.3454585,-3.072138,-2.9108175,-0.7810819999999999,22.0626985,16.840632,0.5867224999999996,2.529322,16.443334999999998,-2.52386,-7.3005949999999995,8.46426,12.277725,-11.92323,-15.467565,11.459805,4.48
"Archer, Andy",2022,RIGHT,0.4740740740740741,4,164.084925,85.90464,6.35653,89.12666,NA,NA,81.11932,2214.42493,NA,NA,1541.963651,207.37079,NA,NA,241.222291,2.77365,NA,NA,2.01233,0.02371,NA,NA,0.5371,-5.485532,NA,NA,-7.436894,-1.039283,NA,NA,-0.013151,24.954476,NA,NA,5.63536,18.44903,NA,NA,10.46343,9.32859,NA,NA,16.40859,5.04
"Arella, Tyler",2022,LEFT,0.5521885521885522,3,156.24352499999998,81.969220000000007,5.95026,86.34375,78.258925,NA,78.6905,1923.172996,1953.131441,NA,1644.536766,150.104798,250.32441749999998,NA,110.25076,2.6916,1.28223,NA,1.91806,0.03711,0.50759,NA,-0.75349,-5.140301,-8.5475295,NA,-7.229082,0.231144,1.6396929999999998,NA,-1.066826,22.093286,24.374385,NA,19.169957,14.168,1.71634,NA,7.3037,-7.76567,1.51122,NA,-16.01938,5.07
"Armbrustmacher, Dane",2022,LEFT,0.5714285714285714,4,152.50522,81.781485,5.641845,89.65526,NA,NA,81.61302,2238.095363,NA,NA,1928.260753,130.651574,NA,NA,120.575735,2.90109,NA,NA,2.39499,0.14756,NA,NA,-0.6077,-5.091625,NA,NA,-6.461815,0.766629,NA,NA,-0.12063,20.404276,NA,NA,19.1252,15.93017,NA,NA,12.72682,-16.98399,NA,NA,-17.73371,6.47
"Armstrong, Sam",2022,RIGHT,0.5454545454545454,1.5,104.78022,75.98523,6.003019999999999,90.98274,83.821145,NA,NA,2359.226171,2382.449082,NA,NA,207.855431,139.3996805,NA,NA,2.62276,2.5486,NA,NA,0.32369,-0.1775,NA,NA,-4.965629,-6.515411500000001,NA,NA,-0.970935,-2.6282615,NA,NA,20.380637,31.5541775,NA,NA,17.45721,4.603385,NA,NA,8.06918,-3.015905,NA,NA,5.4
"Arnold, Hayden",2022,RIGHT,0.5167958656330749,9,180.84672,81.42929,5.27032,85.9832,NA,73.05775,81.30789999999999,2229.160319,NA,2334.186082,1733.043505,196.069361,NA,27.448798,224.3111475,2.48966,NA,1.99843,2.021605,-0.36557,NA,-0.56567,0.55639,-6.517755,NA,-11.718506,-7.8802465,0.017791,NA,-1.375828,1.0594385000000002,36.175299,NA,-1.43888,20.734112,21.39875,NA,-15.01123,14.06288,5.60323,NA,-8.64434,11.86166,3.14
"Austin, Cade",2022,RIGHT,0.530920060331825,2.3125,155.41421,82.06225,5.42808,90.836615,80.15051,NA,79.539225,2273.113122,2103.239993,NA,1779.428481,216.09598499999998,38.121515,NA,235.3455015,2.0814250000000003,1.65102,NA,1.792515,0.133625,-0.16583,NA,0.3678,-5.774922500000001,-8.883192,NA,-7.5723955,0.327953,-1.72415,NA,0.5387455,36.719417,6.982988000000001,NA,15.988936,19.363715,-3.60126,NA,11.76276,13.539024999999999,-2.87807,NA,14.76243,3.17
"Austin, Kelly",2022,RIGHT,0.5495251017639078,3.5833333333333335,190.11202,77.23289,6.10603,87.87956,77.76417,76.35586,78.37908,2141.540232,2093.540058,2035.752286,1116.301823,193.56345149999999,78.114143,23.278914,199.108627,2.131595,1.67187,1.46828,1.71724,-0.27818,-0.68168,-0.18129,0.090939999999999993,-6.210025,-9.309261,-10.502747,-9.115956,-0.9259655,-3.078373,-1.405455,-0.892462,32.763357,18.711507,16.378783,8.416431,20.331685,-1.13449,-6.08496,4.60705,4.66455,-11.77804,-2.91866,1.60158,4.07
"Avila, Nicholas",2019,RIGHT,0.5333333333333333,2.25,154.05301465000002,82.61997206,5.588986032,89.25842115,80.31481394,75.44779474,81.194123465,2116.87155,2139.169059,2434.713491,1700.120636,225.0046666,121.8358491,75.57616469,225.28095365000001,2.25783768,1.858453451,2.602204946,2.0122432045,0.230182145,-0.341921524,0.174740336,-0.0377450145,-6.359368081,-8.309312963,-8.393821081,-7.279891615,-1.083088688,-3.846791898,-3.071977187,-2.0854629585,11.12167723,22.43125353,-11.423213184999998,13.14289947,13.41448051,4.018601198,-2.806990051,9.240344428,13.11377858,-7.307134385,-7.478447854,10.385105275,3.99
"Avitia, Daniel",2022,RIGHT,0.4875,5.75,154.32447,83.89111,6.1867350000000005,89.41308,NA,NA,81.95462,2369.519458,NA,NA,1817.998867,238.109383,NA,NA,268.436131,2.58932,NA,NA,1.9927449999999998,0.46978,NA,NA,0.733695,-4.87383,NA,NA,-6.744342,-0.790108,NA,NA,-0.2159895,19.54238,NA,NA,5.3330325,10.81442,NA,NA,1.75913,16.05091,NA,NA,18.20595,4.06
"Ayon, Isaac",2022,RIGHT,0.4758364312267658,2.9375,87.36974,83.36650499999999,5.73191,92.17486,82.62031,NA,86.33283499999999,2013.2184215000002,2430.332625,NA,1984.001023,241.49759899999998,97.6357,NA,256.10215,2.21289,1.86497,NA,1.832655,0.4546,-0.57886,NA,-0.07826,-6.170015,-7.939758,NA,-7.1060625,0.937379,-2.121578,NA,0.4290855,13.072214,12.243922,NA,12.112344,10.84985,2.07547,NA,5.65404,17.728415,-6.06965,NA,18.000975,5.77
"Baayoun, Zak",2019,LEFT,0.5538674033149171,1.3181818181818181,160.9157076,84.09583239,5.910168087,88.44509336499999,73.88957308,73.09500222,82.41044279,2154.1105755,2304.933261,2409.371455,1780.906626,126.92593995,296.0827784,284.921723,123.163291,2.519782353,1.974340005,1.96877856,1.878425329,-0.19329042800000001,-0.012570374,-0.799035917,-0.237627625,-5.669875934,-9.586409698,-9.52496759,-7.681703183,1.796444204,4.439927758,4.701787969,2.1960757380000002,14.86825548,15.13330725,NA,3.86028009,11.421218329999999,-6.367135936,-4.650109037,6.843549082,-14.771732539999999,12.45250737,16.55231081,-8.836862014,5.54
"Babalis, Thomas",2022,LEFT,0.5257731958762887,3,137.26796,84.45306,5.60756,89.88432,NA,NA,81.89146,2221.7313830000003,NA,NA,1900.719798,139.13142399999998,NA,NA,119.636841,2.23972,NA,NA,1.97692,0.31999,NA,NA,0.18465,-5.9754435,NA,NA,-7.440118,0.5184655,NA,NA,0.836189,26.334609999999998,NA,NA,13.113418,14.69032,NA,NA,5.54937,-11.587425,NA,NA,-12.72957,6.04
"Babuschak, Jake",2022,RIGHT,0.5595238095238095,0.5,122.49386,75.7045,5.441655,85.924835,NA,72.049555,79.17751,2029.7332925,NA,2428.65679,1851.8669445,221.1519365,NA,51.980568000000005,254.9950475,3.147025,NA,2.30452,1.89958,0.66296,NA,-0.275345,0.924015,-4.807717,NA,-9.5716635,-7.236084,0.048196,NA,-3.560454,0.6300209999999999,24.91165,NA,18.373004,-15.971144500000001,16.8367,NA,-10.232975,6.681795,14.37223,NA,-16.08749,19.294775,8.59
"Backer, CJ",2022,RIGHT,0.5208333333333334,1.6,156.08498,86.25184,6.142099999999999,88.74004,78.43727,NA,NA,2033.235182,2174.78054,NA,NA,220.182294,52.795681,NA,NA,2.29685,1.46404,NA,NA,-0.19281,-0.07132,NA,NA,-5.696128,-9.000532,NA,NA,-1.294373,-3.75393,NA,NA,14.446306,26.327675499999998,NA,NA,16.59391,-5.24118,NA,NA,12.80981,-9.60882,NA,NA,7.08
"Bader, Ryan",2019,LEFT,0.5555555555555556,2.1666666666666665,142.14538595,83.590510525,6.084417759,84.722122875,75.19896456500001,NA,78.51411647,1813.4970469999998,1958.4452900000001,NA,1630.697336,144.09301115,188.75198784999998,NA,106.6050868,2.1924886375,2.2580563765,NA,2.042061222,-0.0757582895,0.145494192,NA,-0.634280813,-6.661606195,-8.27614819,NA,-8.122777026,0.914862014,1.9263853155,NA,-0.051829831,14.28811349,26.543062725,NA,-5.4884422785,10.32076401,2.0688520965,NA,3.170371217,-7.746323085,0.646043424,NA,-12.95738148,5.09
"Bailey, Logan",2019,LEFT,0.504950495049505,1.6666666666666667,176.265322,76.63528475,5.343054041,85.56490573,NA,72.86321876,78.15284748,2246.482288,NA,2603.565342,1703.092672,160.7673262,NA,310.3617477,116.9140783,2.170089966,NA,2.089070155,0.781141352,-0.261133977,NA,0.467793069,-0.270133785,-6.273471894,NA,-10.69894135,-9.325335771,1.001842326,NA,4.23425556,0.104068712,25.38476464,NA,26.72791435,32.680827915,20.90111699,NA,-12.40675609,8.866334062,-7.335450579,NA,14.2737853,-17.29125632,5.86
"Barlow, Billy",2022,RIGHT,0.5547112462006079,2.6666666666666665,96.54301,81.790425,5.64565,90.78393500000001,79.81395499999999,78.79252,82.336845,2162.071287,2357.5844375,2293.54314,1458.603157,236.502588,57.936484500000006,46.695189,227.4411575,2.3199899999999998,1.989475,1.96723,2.24603,0.153965,-0.170045,0.08506,0.718515,-6.0686575000000005,-8.490529500000001,-8.754886,-6.7718965,-0.30942749999999997,-2.7084405,-2.418333,-0.6425425,11.903119,6.72018,31.078476,45.9129735,10.68426,-2.7691,-4.32276,10.590164999999999,14.471605,-6.39973,-5.57177,9.78294,4.84
"Barlow, Cam",2022,LEFT,0.547486033519553,1.1666666666666667,116.82667,77.46358000000001,5.61349,87.32332,77.83592999999999,NA,81.65741,2301.3218930000003,2327.5231265,NA,1917.892481,146.809033,227.52132,NA,124.607536,2.33846,2.10069,NA,2.20012,-0.30835,-0.02805,NA,-0.13112,-5.206937,-7.531019499999999,NA,-6.25574,1.1281165,3.0864884999999997,NA,1.19159,27.161727,26.374254999999998,NA,7.5496105,18.47038,5.571675,NA,11.86351,-10.953054999999999,4.855395,NA,-13.83308,5.14
"Barnes, Forrest",2022,RIGHT,0.5370650529500757,1.8888888888888888,185.33044999999998,80.71144,4.66424,88.75736,78.01975999999999,72.45758000000001,82.804385,2135.6630354999998,2361.9268825,2439.8825065,1914.176986,213.02807,90.61894699999999,61.813221999999996,238.262579,2.34148,2.084365,2.00328,2.05972,-0.06558,-0.49186,0.25377500000000003,0.30111,-5.344683,-8.2514925,-9.8622655,-6.7563569999999995,-1.499718,-3.6509395,-3.3398589999999997,-0.6450695,32.661566,33.9915355,22.015709,-1.73806,17.86036,1.59278,-7.374829999999999,10.751425000000001,10.95473,-7.75392,-17.05808,15.268395,5.25
"Barrera, Diego",2022,LEFT,0.49850299401197606,4.111111111111111,186.43819,78.38981,5.93562,84.13372,75.41373999999999,NA,74.03418,2080.7415465,2025.9234775,NA,1649.101689,137.04711200000003,215.6611775,NA,106.121124,2.124925,1.525825,NA,1.7436,-0.117865,0.176495,NA,-0.83236,-5.462671500000001,-7.839224,NA,-7.458695,1.406803,3.1784524999999997,NA,0.657964,25.178525999999998,17.6623315,NA,17.7509075,17.93611,6.924215,NA,6.53304,-15.144400000000001,4.04327,NA,-16.48607,2.85
"Barron, Jesse",2022,RIGHT,0.45161290322580644,2.75,145.635455,87.10999,5.46055,87.16603,77.91282,NA,80.71696,2137.616214,2355.648745,NA,1622.890362,233.139031,85.10601650000001,NA,251.480681,2.173945,2.030045,NA,1.6,0.173,-0.7535050000000001,NA,0.49982,-6.089245,-8.224980500000001,NA,-7.870031,-0.008754,-3.4304235,NA,0.262966,17.913725,22.853194,NA,10.439235,14.09265,0.547285,NA,7.25233,17.19536,-7.4312450000000005,NA,17.09686,6.12
"Bash, Andrew",2019,RIGHT,0.4810126582278481,1,260.0006553,89.08783818,6.216535004,88.71123359500001,81.42268233499999,NA,NA,2473.1600415,2699.301345,NA,NA,208.62883265,110.18186764999999,NA,NA,2.268563512,2.06853337,NA,NA,-0.2536179425,-0.47115841550000004,NA,NA,-5.730979541,-8.0058864765,NA,NA,-0.9427526415,-2.3288356695,NA,NA,23.39604781,14.66891684,NA,NA,14.128949965,1.37368955,NA,NA,8.0703352735,-3.277956751,NA,NA,1.98
"Baum, Tyler",2019,RIGHT,0.5033557046979866,2,190.6185504,84.77423957,5.681536578,91.48372053,78.18744900499999,NA,83.0793518,2154.059182,2310.26398,NA,1811.305109,220.0920014,78.68354291,NA,218.9290349,2.351465524,2.1605789975,NA,1.644681714,0.138638608,-0.385216216,NA,0.072003366,-5.351945275,-8.6846288865,NA,-6.601880799,0.074778399,-1.3460216539999998,NA,0.031906469,21.13037817,12.29233143,NA,3.5364440499999983,14.12049556,-1.1934516314999999,NA,14.31344386,11.4944752,-2.3732457755,NA,11.95755702,3.87
"Beal, Noah",2022,RIGHT,0.5390243902439025,3.125,130.02741,81.07409,5.81024,90.60084499999999,83.28512,75.29875999999999,84.30558,2045.4375679999998,2123.796483,2428.9280099999996,1983.831367,211.3887885,123.132594,30.373058,237.844722,2.43329,1.57548,1.9199600000000001,1.48691,0.241305,-0.66678,0.055335,0.26635,-5.8615485,-8.16921,-10.534106000000001,-7.74412,-0.824071,-3.014997,-2.524223,-0.994144,26.9663255,9.158857000000001,-21.449439,12.710903,15.12477,4.14323,-14.294105,7.69496,8.990675,-4.51449,-9.612325,12.83867,5.75
"Beam, Drew",2022,RIGHT,0.5337620578778135,6.5,112.98789,87.4016,5.96551,93.2004,79.37069,78.75646,84.29467,2189.252073,2117.7636805,2098.085086,1775.26348,212.3638575,62.179052999999996,42.003724500000004,260.814291,2.7474600000000002,2.29336,1.95262,2.26304,0.091635,-0.243765,0.10555500000000001,0.36381,-5.587594,-8.5910315,-9.2372185000000009,-7.179337,-1.1053415,-3.6098645,-3.1694880000000003,-1.031325,27.457861,25.998749,-5.6099499999999995,0.953375,18.231465,-3.440635,-6.48971,3.45217,10.788744999999999,-8.89672,-7.24461,15.33351,2.72
"Bean, Andy",2022,LEFT,0.5289855072463768,1.7777777777777777,131.28848,79.86852,5.9619,85.77531,77.0722,74.4183,78.845865,2152.71317,2211.332813,2281.666872,1810.5635969999998,163.97237,243.662289,312.450292,123.7763535,2.27376,1.82223,2.08602,1.938355,-0.14988,0.3491,0.01307,-0.712555,-5.525027,-8.206899,-8.547157,-7.1586195,1.422116,2.813338,2.624402,-0.098057,23.436818,16.907413,11.2517075,14.890243,21.12918,3.17303,-2.76051,11.972584999999999,-5.73359,3.13882,5.45626,-16.158630000000002,4.64
"Beard, Steven",2022,LEFT,0.5026737967914439,1.8,235.647465,87.68212,5.4974,84.621065,72.78347,73.044434999999993,75.56758,2145.6470689999996,2483.2255784999998,2507.1005115,1628.114919,144.34034,303.104883,308.396139,125.148169,2.3481949999999996,2.0950499999999996,2.169265,1.82901,0.340235,-0.03039,0.35839,-0.22433,-6.2180015,-10.046649,-9.8265675,-8.155317,0.17782900000000001,1.9368435000000002,2.507151,-0.827991,33.038419,21.8759125,19.756525500000002,23.705854,16.50564,-6.81004,-7.9764,13.4393,-11.29223,11.850025,12.90808,-16.86749,4.28
"Beatson, Jordan",2019,RIGHT,0.54216867469879515,1.3333333333333333,142.0961216,92.336849765,5.591744832,85.95711418,75.02986957,NA,NA,2093.429863,2265.305985,NA,NA,216.74806519999998,88.90751275,NA,NA,2.7151439745,2.158766834,NA,NA,-0.034211016,-0.477775029,NA,NA,-6.069914171,-8.24448138,NA,NA,-1.1361843745,-3.103968376,NA,NA,-0.33258830549999996,13.014387668,NA,NA,11.930497944999999,-0.170611392,NA,NA,8.767289846,-7.512816346,NA,NA,5.71
"Beck, Brendan",2019,RIGHT,0.4742268041237113,7,170.5855333,87.9140266,6.911676324,89.15720842,NA,NA,81.07915062000001,2106.903247,NA,NA,2067.389601,192.9154075,NA,NA,139.60078670000001,2.881518621,NA,NA,1.766764458,0.549058826,NA,NA,-0.44350253100000003,-5.014651581,NA,NA,-8.3772381655,-1.542164524,NA,NA,-3.5028169275,6.437671055,NA,NA,42.05337617,22.99871153,NA,NA,5.968341274,5.400661701,NA,NA,-4.934274757500001,3.63
"Beckley, Devin",2022,RIGHT,0.5513347022587269,2.185185185185185,126.20551,77.70215,5.760025000000001,89.568725,80.49217,72.76963,81.15597,2224.459214,2239.012377,2240.906247,2090.7981945,204.06726600000002,101.3685135,28.584882,222.6383995,2.3967850000000004,1.80009,1.68892,2.59477,0.23151,-0.34675,0.24545,0.479735,-5.4896104999999995,-8.504584999999999,-10.989897,-6.141958499999999,-1.0620375,-3.020594,-3.223485,-0.9557815000000001,27.862082,12.486892999999998,8.2242455,31.085115000000002,21.272100000000002,2.116495,-15.50072,15.36497,8.767685,-3.77841,-9.11367,13.376384999999999,3.18
"Bello, Sam",2022,RIGHT,0.5853658536585366,0.875,201.37355,83.18629,5.83058,90.217725,79.146455,NA,80.89703499999999,2452.4228705,2404.8787905,NA,2011.7499305000001,206.6161655,124.9842635,NA,225.5037655,2.600425,1.88834,NA,1.1909200000000002,0.12934,-0.35623,NA,0.129025,-5.6415489999999995,-8.2096965,NA,-8.0605415,-1.2112275000000001,-3.3896805,NA,-1.3660655,36.784719,44.2131295,NA,23.492002499999998,18.846719999999998,6.204925,NA,13.65544,8.75044,-6.4876000000000005,NA,12.356365,3.3
"Bemiss, Jeb",2019,RIGHT,0.5166666666666667,2,136.66675415,84.64010673,5.9731983885,81.92950916999999,73.28807018500001,NA,NA,2216.900173,2426.134439,NA,NA,198.87953579999999,62.280916930000004,NA,NA,2.559889841,2.4290450015,NA,NA,0.24477094,0.05058947,NA,NA,-6.2016501885,-9.984488047500001,NA,NA,-0.331228964,-1.896424509,NA,NA,22.20097248,14.40439189,NA,NA,16.47632922,-6.3683991815,NA,NA,6.7640126380000005,-10.34699342,NA,NA,5.83
"Bengard, Spencer",2022,RIGHT,0.5329341317365269,4.285714285714286,74.00637,77.33474,5.67619,90.348855,82.75212,NA,83.65311,2133.3623294999998,2287.368864,NA,1608.039316,220.6008555,98.06420299999999,NA,249.416327,2.58239,1.67418,NA,1.7493,0.06034,-0.92829,NA,0.34281,-5.6387155,-8.513533,NA,-7.758801,0.045213,-2.690516,NA,0.573633,19.6080455,14.462842,NA,3.4604605,17.5293,1.558685,NA,7.68095,13.892505,-3.19193,NA,17.0693,4.05
"Benneche, Luke",2022,RIGHT,0.521505376344086,2.8,230.41976,84.18779,5.55963,90.92218500000001,81.55388500000001,NA,80.673885,2297.816978,2273.914203,NA,2164.5623795,203.486469,130.393606,NA,235.7041415,2.84267,2.1756,NA,1.8855,0.072175,-0.84494,NA,0.11667,-5.279927,-7.9749015,NA,-7.0533585,0.1399125,-2.4026365,NA,0.3259435,32.078872,23.8060945,NA,31.2839345,20.543889999999998,4.454610000000001,NA,13.944949999999999,8.682835,-4.075555,NA,18.992825,4.5
"Bennett, Jake",2022,LEFT,NA,6.4,110.61663,77.15269,6.87087,92.99522,82.83722,NA,83.62436,2151.555143,2007.0708035,NA,1897.591359,132.010825,243.547467,NA,114.823872,2.65155,1.65871,NA,1.8216,-0.0613,0.07354,NA,-0.23505,-5.42133,-8.054695,NA,-7.387598,1.265891,2.456948,NA,0.893786,20.66812,7.049017,NA,14.468721,12.70166,1.7461,NA,7.02863,-13.01595,1.36567,NA,-14.92922,3.69
"Bennett, Nick",2019,LEFT,0.5404858299595142,2.8181818181818183,163.6534044,80.47182759,5.844450338,89.30740935,76.265196025,74.0940425,80.53952925499999,2267.9506925,2299.80128,2440.402278,1559.3991905,148.19832680000002,267.73646414999996,299.4797851,124.52043465,2.7669094254999997,2.7530644195000002,2.640379576,2.020388563,-0.078816415,0.14796278699999998,-0.074984819,-0.024167683000000002,-6.1356996195,-9.045548094,-10.38207074,-8.413029286499999,0.2581439505,3.3241750210000003,2.990664774,0.449921598,19.819701175,24.549341622,6.941400759,14.8422627,14.87330833,0.547317253,-8.746737764,8.2521715515,-10.09430764,14.562444535000001,15.70441285,-11.768796835,4.4
"Berg, Hayden",2022,RIGHT,0.5540540540540541,0.5,165.87825,79.86835,5.78314,88.99418499999999,NA,NA,80.76074,2218.385384,NA,NA,1647.435431,215.4318315,NA,NA,240.804282,2.792395,NA,NA,1.78219,0.82449,NA,NA,0.68378,-4.820436,NA,NA,-7.028379,0.43898550000000003,NA,NA,0.25549500000000003,40.271362,NA,NA,-6.4756325,18.461579999999998,NA,NA,8.56245,12.29869,NA,NA,12.8339,6.27
