Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,WP,HP,OBA
Jack Leiter,Vanderbilt,11,4,2.13,18,18,2,1,0,110,48,30,26,45,179,4,11,0.129
Kumar Rocker,Vanderbilt,14,4,2.73,20,20,1,0,0,122,75,43,37,39,179,13,7,0.17
Andrew Abbott,Virginia,9,6,2.87,19,17,0,0,0,106.2,89,39,34,32,162,5,5,0.228
Brendan Beck,Stanford,9,3,3.15,17,15,2,1,0,108.2,81,44,38,26,143,10,2,0.2
Doug Nikhazy,Ole Miss,12,2,2.45,16,15,1,1,0,92,62,30,25,31,142,3,6,0.186
Nicholas Sinacola,Maine,9,3,2.04,12,12,5,1,0,79.1,59,20,18,23,139,4,4,0.208
Will Bednar,Mississippi State,9,1,3.12,19,16,0,0,0,92.1,72,35,32,26,139,2,8,0.214
Ty Madden,Texas,7,5,2.46,18,18,1,1,0,113.2,75,37,31,44,137,4,5,0.188
Dominic Hamel,Dallas Baptist,13,2,4.22,18,16,0,0,1,91.2,68,44,43,34,136,11,5,0.204
Kevin Kopps,Arkansas,12,1,0.9,33,1,0,0,11,89.2,50,9,9,18,131,3,1,0.162
Gavin Williams,East Carolina,10,1,1.88,15,12,1,1,1,81.1,57,18,17,21,130,8,10,0.193
Austin Love,North Carolina,10,4,3.71,17,16,2,0,0,102,85,45,42,32,129,20,2,0.224
Rodney Boone,UC Santa Barbara,11,4,2.31,16,16,1,1,0,97.1,55,33,25,39,128,6,2,0.165
Hunter Stanley,Southern Miss,6,4,2.56,16,15,1,0,0,102,74,34,29,19,127,2,2,0.198
Ben Casparius,Connecticut,8,5,4.03,15,15,1,1,0,91.2,68,43,41,36,127,7,10,0.202
Parker Messick,Florida State,8,2,3.1,16,16,0,0,0,90,81,38,31,23,126,2,10,0.234
Andrew Taylor,Central Michigan,11,4,1.81,15,15,5,2,0,94.1,64,21,19,24,125,5,2,0.189
Chayce McDermott,Ball State,8,2,3.05,15,15,2,0,0,82.2,59,30,28,36,125,4,10,0.204
Matt Mikulski,Fordham,9,0,1.45,11,11,5,2,0,68.1,29,11,11,27,124,4,7,0.127
Chad Dallas,Tennessee,11,2,4.19,17,17,0,0,0,103,95,52,48,20,122,5,8,0.241
Will Dion,McNeese,9,4,3.07,17,16,5,2,1,99.2,79,39,34,19,121,4,6,0.215
Mason Miller,Gardner-Webb,8,1,3.3,15,14,0,0,0,92.2,73,39,34,30,121,11,12,0.21
Dylan Dodd,Southeast Missouri State,9,2,3.17,15,15,0,0,0,96.2,85,40,34,17,120,9,5,0.227
Landen Roupp,UNC Wilmington,8,5,2.58,16,15,2,2,0,101,69,40,29,42,118,7,8,0.197
Jordan Wicks,Kansas State,6,3,3.7,15,15,0,0,0,92.1,90,40,38,28,118,5,0,0.249
Joe Rock,Ohio,8,3,2.34,14,14,4,1,0,88.2,67,29,23,27,117,12,8,0.209
Carlos Tavera,UT Arlington,3,4,3.04,15,14,0,0,0,83,51,29,28,33,117,6,5,0.177
Landon Marceaux,LSU,7,7,2.54,18,17,1,0,0,102.2,92,37,29,26,116,8,9,0.238
Michael McGreevy,UC Santa Barbara,9,2,2.92,16,16,1,1,0,101.2,109,41,33,11,115,4,10,0.274
Dylan Smith,Alabama,2,8,3.84,16,16,1,0,0,98.1,99,42,42,20,113,6,1,0.263
Aaron Brown,Middle Tennessee,7,5,3.99,14,14,3,0,0,85.2,67,38,38,15,113,4,7,0.21
Tommy Mace,Florida,6,2,4.38,16,15,0,0,1,90.1,91,49,44,21,113,7,9,0.256
Christian MacLeod,Mississippi State,6,6,5.23,19,19,0,0,0,82.2,79,55,48,33,113,8,6,0.248
Alek Jacob,Gonzaga,8,1,2.52,17,11,2,2,3,85.2,60,25,24,18,112,5,8,0.192
Ky Bush,Saint Mary's,7,5,2.99,14,14,0,0,0,78.1,69,31,26,19,112,6,4,0.235
Steven Hajjar,Michigan,4,2,3.09,14,14,1,0,0,81.2,66,36,28,29,110,5,3,0.214
Austin Vernon,North Carolina Central,5,4,2.55,12,12,2,2,0,70.2,41,30,20,31,109,10,3,0.163
Anthony Becerra,Jackson State,9,1,3.05,15,12,3,3,0,76.2,45,31,26,49,109,5,23,0.172
Kevin Abel,Oregon State,3,5,3.62,16,16,1,0,0,82,47,35,33,61,109,16,17,0.168
Collin Floyd,Youngstown State,9,4,2.58,15,15,6,3,0,101.1,75,33,29,23,108,5,5,0.202
Ryan Cusick,Wake Forest,3,5,4.24,12,12,0,0,0,70,65,40,33,32,108,7,6,0.243
John Baker,Ball State,9,3,2.32,19,13,4,2,4,101,82,38,26,25,107,6,5,0.221
Elliot Carney,Wofford,6,3,3.07,15,15,2,2,0,88,62,36,30,22,107,11,8,0.192
Sean Burke,Maryland,6,3,3.27,14,13,0,0,0,74.1,48,33,27,42,107,8,4,0.178
Trenton Wallace,Iowa,7,1,2.34,36,13,0,0,0,73,54,20,19,37,106,1,7,0.202
Emmet Sheehan,Boston College,5,5,4.23,13,13,0,0,0,76.2,63,39,36,34,106,2,13,0.222
Robert Gasser,Houston,6,6,2.63,14,14,0,0,0,85.2,67,30,25,25,105,1,14,0.215
Chase Silseth,Arizona,8,1,5.55,18,18,0,0,0,97.1,112,73,60,29,105,13,13,0.282
Jackson Wolf,West Virginia,6,5,3.03,14,14,1,0,0,89,66,39,30,37,104,5,7,0.204
Drew Thorpe,Cal Poly,6,6,3.79,16,15,1,0,1,90.1,78,41,38,38,104,2,5,0.24
Dustin Saenz,Texas A&M,6,6,4.27,14,14,0,0,0,84.1,83,45,40,23,104,4,4,0.251
Levi David,Northwestern State,2,6,4.43,14,13,0,0,0,61,34,45,30,46,104,23,19,0.161
Pierson Ohl,Grand Canyon,10,2,2.6,16,15,7,3,0,100.1,79,30,29,12,103,2,5,0.216
Scott Randall,Sacramento State,7,2,2.89,15,14,2,1,0,87.1,87,32,28,9,103,2,3,0.261
Justin Campbell,Oklahoma State,7,2,2.57,14,13,1,1,0,84,66,28,24,27,102,2,7,0.214
Luke Albright,Kent State,6,4,3.4,15,15,2,0,0,82,65,37,31,40,102,7,9,0.211
Tyler Santana,Jacksonville,5,8,4.66,17,15,2,0,0,100.1,89,58,52,35,102,16,9,0.234
Jordan Marks,USC Upstate,10,2,2.54,15,15,1,1,0,95.2,85,32,27,20,101,10,5,0.232
Justin Armbruester,New Mexico,5,2,3.58,13,13,1,0,0,78,66,33,31,21,101,5,5,0.231
Patrick Monteverde,Texas Tech,7,4,3.75,16,16,0,0,0,86.1,79,43,36,21,101,8,3,0.24
Russell Smith,TCU,7,3,3.83,15,15,0,0,0,82.1,73,38,35,20,101,3,5,0.231
Wyatt Olds,Oklahoma,4,6,5.23,19,11,0,0,1,75.2,66,52,44,37,101,12,13,0.233
Conor Grady,Florida State,5,2,4.05,16,15,0,0,0,73.1,66,38,33,19,99,5,4,0.237
Bryce McGowan,Charlotte,7,5,4.84,16,15,0,0,0,80,72,49,43,55,99,6,12,0.241
Geremy Guerrero,Indiana State,10,1,2.08,14,14,2,1,0,99.1,65,26,23,14,98,0,1,0.182
Brad Harrison,Southern Illinois,9,0,3.54,15,15,2,1,0,81.1,77,34,32,27,98,7,4,0.246
Cooper Hjerpe,Oregon State,3,6,4.21,17,16,0,0,0,77,63,47,36,27,98,8,9,0.223
Seth Lonsway,Ohio State,3,5,4.37,12,12,1,1,0,68,40,35,33,43,98,12,12,0.167
Brannon Jordan,South Carolina,5,6,4.58,15,15,0,0,0,72.2,54,41,37,48,98,10,5,0.204
McCade Brown,Indiana,5,4,3.39,12,12,0,0,0,61,35,29,23,43,97,7,7,0.164
Aaron Davenport,Hawaii,3,6,3.74,13,13,0,0,0,86.2,82,41,36,21,97,5,6,0.255
Chris Turpin,New Orleans,9,3,4.65,16,15,6,3,0,89,86,54,46,16,97,2,17,0.253
Lukas Jaksich,Ball State,8,3,3.45,19,12,3,0,1,73,67,38,28,35,96,4,7,0.243
Jack Aldrich,Tulane,5,3,3.7,14,14,0,0,0,82.2,82,42,34,23,96,1,12,0.255
Austin Krob,TCU,8,1,3.81,16,16,0,0,0,85,80,39,36,37,96,7,9,0.252
Reid Johnston,NC State,9,3,4.47,16,12,1,0,1,96.2,84,51,48,23,96,3,11,0.231
Tyler Mattison,Bryant,10,3,2.47,13,13,1,0,0,80.1,57,32,22,14,95,7,2,0.195
Will Warren,Southeastern Louisiana,7,2,2.57,14,14,2,1,0,91,71,33,26,25,95,5,2,0.214
Mason Black,Lehigh,7,3,3.11,13,13,4,2,0,72.1,64,36,25,31,95,5,9,0.235
Frank Elissalt,La Salle,6,4,3.42,13,13,2,1,0,76.1,57,39,29,39,95,13,16,0.205
Hayden Thomas,Texas A&M-Corpus Christi,4,3,3.31,15,14,0,0,0,81.2,73,41,30,39,94,11,10,0.237
Bryce Hubbart,Florida State,6,5,3.8,16,14,0,0,0,71,54,36,30,29,94,3,12,0.208
Hunter Barco,Florida,10,3,4.01,16,16,1,0,0,83,77,43,37,26,94,11,15,0.239
Sam Bachman,Miami (OH),4,4,1.81,12,12,1,0,0,59.2,29,15,12,17,93,7,6,0.147
Jack Jasiak,South Florida,6,7,2.93,16,16,1,0,0,98.1,76,39,32,23,93,1,9,0.208
Jake Pilarski,The Citadel,2,4,6,21,13,0,0,1,87,107,67,58,40,93,6,2,0.301
Robert Ahlstrom,Oregon,9,3,2.5,14,14,0,0,0,90,77,28,25,16,92,8,5,0.231
Isaac Coffey,Oral Roberts,9,2,2.82,14,14,4,2,0,86.1,73,32,27,13,92,3,13,0.225
Nick DeGennaro,Stony Brook,8,3,3.14,14,12,2,1,0,77.1,66,30,27,27,92,5,2,0.231
Darren Williams,Eastern Kentucky,3,8,4.1,15,13,0,0,0,83.1,77,41,38,30,92,10,13,0.238
Jake Schrand,Wright State,5,4,4.61,14,14,1,1,0,68.1,79,38,35,20,92,3,8,0.284
Spencer Arrighetti,Louisiana,7,6,3.12,16,13,0,0,2,83.2,69,33,29,29,91,10,11,0.223
Austin Cline,Wright State,8,2,3.24,15,10,0,0,0,72.1,62,30,26,18,91,7,8,0.224
Michael Frias,UC Irvine,9,2,3.36,17,14,2,2,0,85.2,65,34,32,24,91,10,9,0.206
Braden Olthoff,Tulane,6,3,3.78,13,13,1,0,0,78.2,81,37,33,11,91,8,3,0.263
Garrett Burhenn,Ohio State,7,2,3.81,13,13,1,0,0,80.1,73,36,34,27,91,3,11,0.241
Peyton Alford,Virginia Tech,2,6,5.03,15,14,0,0,0,68,64,48,38,39,91,11,8,0.244
Connor Cooke,Louisiana,7,3,2.03,18,12,1,1,1,79.2,44,25,18,37,90,9,8,0.157
Blade Tidwell,Tennessee,10,3,3.74,18,18,0,0,0,98.2,84,49,41,34,90,5,4,0.234
Thomas Farr,South Carolina,3,7,3.87,15,15,0,0,0,83.2,81,40,36,38,90,8,6,0.247
Collin Sullivan,South Florida,3,4,4.07,17,16,1,1,0,79.2,90,47,36,16,90,4,2,0.277
Hunter Wolfe,Dayton,4,6,4.58,14,13,2,0,0,74.2,69,43,38,29,90,7,7,0.245
Nikelle Galatas,Jackson State,9,2,3.12,15,12,4,1,1,86.2,65,38,30,34,89,0,9,0.206
Sean Mullen,UCLA,9,1,3.39,23,13,0,0,2,77,65,33,29,38,89,1,7,0.231
Jimmy Joyce,Hofstra,3,4,3.7,11,11,1,0,0,73,67,31,30,21,89,5,10,0.245
Garrett Schoenle,Cincinnati,6,3,4.18,15,15,1,0,0,75.1,78,41,35,24,89,3,8,0.264
Orlando Ortiz,Troy,6,5,4.44,15,13,0,0,0,73,77,41,36,29,89,17,12,0.269
Jake Kates,Western Kentucky,3,4,5.45,15,13,1,1,0,76,82,53,46,24,89,8,13,0.273
Trevor Delaite,Liberty,12,1,2.17,16,16,5,3,0,107.2,84,28,26,20,88,3,12,0.219
Jon Snyder,Youngstown State,6,2,2.76,15,14,0,0,0,71.2,51,27,22,51,88,17,6,0.202
Hunter Gregory,Old Dominion,8,2,2.95,16,15,3,1,0,79.1,65,31,26,19,88,3,2,0.223
Cade Povich,Nebraska,6,1,3.11,15,15,0,0,0,81,74,29,28,22,88,4,3,0.244
Kyle Virbitsky,Penn State,5,4,4.17,13,13,0,0,0,77.2,77,42,36,20,88,4,13,0.253
Adam Mazur,South Dakota State,2,7,5.43,12,12,0,0,0,68,72,49,41,31,88,9,4,0.269
Rhett Kouba,Dallas Baptist,6,2,2.77,16,10,1,1,0,74.2,60,28,23,23,87,3,2,0.217
Kyle Murphy,Northeastern,6,1,3.86,13,12,0,0,0,65.1,48,28,28,15,87,5,10,0.203
Peter Van Loon,UC Irvine,5,3,4.42,15,14,0,0,0,73.1,77,43,36,20,87,2,14,0.268
Gordon Graceffo,Villanova,7,2,1.54,11,11,2,1,0,82,66,24,14,13,86,5,5,0.221
Walker Powell,Southern Miss,10,2,2.31,15,14,5,1,0,89.2,76,28,23,18,86,0,4,0.224
