Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,WP,HP,OBA
Colton Johnson,Illinois State,3,5,3.32,14,14,1,0,0,86.2,88,39,32,24,86,1,8,0.267
Cory Lewis,UC Santa Barbara,7,4,3.38,15,10,1,1,0,80,55,33,30,31,86,3,9,0.193
Kevin Stevens,UT Rio Grande Valley,6,4,3.43,14,14,2,0,0,86.2,77,38,33,20,86,8,3,0.239
Cole Larsen,Kansas,5,5,3.87,15,14,2,1,1,95.1,97,47,41,36,86,4,7,0.271
Ryan Lauk,Wagner,2,6,4.4,12,12,1,0,0,73.2,63,44,36,26,86,3,8,0.226
Layne Schnitz-Paxton,Toledo,7,2,4.86,16,10,2,0,1,70.1,82,46,38,40,86,17,10,0.29
Jimmy Kingsbury,Villanova,5,4,4.87,16,9,1,0,4,64.2,55,37,35,28,86,3,6,0.23
Zachary Leigh,Texas State,4,8,5.03,15,15,1,1,0,87.2,92,52,49,30,86,5,10,0.278
Dylan Bowers,Northern Colorado,2,5,5.95,12,12,1,0,0,62,67,49,41,40,86,6,7,0.276
Jack Mahoney,Milwaukee,5,6,6.44,14,12,0,0,0,72.2,91,61,52,37,86,10,11,0.304
Deylen Miley,Bellarmine,3,5,6.54,12,11,0,0,0,64.2,68,51,47,33,86,5,8,0.272
Cam Schlittler,Northeastern,8,1,1.88,13,13,0,0,0,76.2,58,18,16,20,85,4,10,0.209
Patrick Wicklander,Arkansas,7,1,2.09,18,13,0,0,0,77.2,65,22,18,24,85,4,4,0.226
Jonathan Fincher,Louisiana Tech,8,3,3.05,17,16,3,2,0,100.1,80,36,34,23,85,3,8,0.219
Ty Good,College of Charleston,7,5,3.71,17,10,0,0,1,77.2,69,38,32,27,85,5,16,0.238
Bradley Brehmer,Wright State,8,4,4.11,14,14,2,0,0,76.2,65,42,35,25,85,2,2,0.226
Cameron Reeves,The Citadel,3,10,5.6,21,13,0,0,0,82,78,58,51,43,85,10,9,0.244
Tyler Cleveland,Central Arkansas,6,3,2.43,23,1,1,1,9,66.2,48,23,18,15,84,1,9,0.198
Edward Kutt IV,Ohio,8,4,2.92,22,5,3,0,5,74,55,32,24,13,84,13,7,0.203
Cullen Kafka,Oregon,5,3,3,15,15,0,0,0,78,73,38,26,35,84,11,12,0.247
Hayden Arnold,Little Rock,7,4,3.07,15,14,0,0,0,85,71,32,29,18,84,0,8,0.228
Breon Pooler,Alabama State,5,3,3.36,12,12,1,1,0,64.1,41,34,24,32,84,4,9,0.183
Sam Highfill,NC State,9,2,3.66,17,16,0,0,0,93.1,77,44,38,26,84,4,8,0.224
Mason Montgomery,Texas Tech,5,3,3.82,14,13,0,0,0,63.2,48,29,27,27,84,1,2,0.213
Conner Thurman,San Diego,6,3,3.9,16,10,0,0,1,64.2,60,35,28,28,84,6,8,0.244
Danny Hosley,Norfolk State,7,2,4.01,12,11,6,0,0,76.1,63,39,34,19,84,6,14,0.216
Dylan Burns,South Florida,5,5,4.33,18,10,0,0,0,77,72,40,37,34,84,5,9,0.253
Christian Edwards,Jacksonville State,5,2,2.48,12,11,0,0,1,69,42,21,19,27,83,8,3,0.175
Kody Bullard,UT Arlington,7,4,3.02,15,15,1,0,0,89.1,70,36,30,34,83,2,7,0.219
Mitch Myers,Pittsburgh,5,5,3.21,13,13,1,0,0,81.1,78,33,29,23,83,4,6,0.249
Winston Cannon,Tennessee-Martin,6,6,3.78,16,14,0,0,0,81,82,46,34,24,83,10,5,0.253
Brant Hurter,Georgia Tech,5,4,3.9,15,15,0,0,0,85.1,85,44,37,19,83,11,17,0.253
Hunter Loyd,East Tennessee State,5,5,4.11,14,13,0,0,0,72.1,57,42,33,32,83,14,13,0.213
Zane Mills,Washington State,5,5,4.15,13,13,1,0,0,80.1,86,50,37,22,83,3,9,0.265
Aaron Funk,Little Rock,2,6,4.54,15,15,0,0,0,73.1,69,45,37,31,83,5,2,0.249
Grey Lyttle,High Point,4,7,4.58,15,14,0,0,1,76.2,81,51,39,29,83,12,8,0.272
Garrett Gainous,Troy,9,5,4.66,15,15,0,0,0,83,77,49,43,36,83,4,9,0.248
Troy Melton,San Diego State,4,5,6.14,15,15,1,1,0,73.1,87,59,50,30,83,7,7,0.291
Austin Peterson,Connecticut,7,1,2.58,15,14,1,1,0,80.1,59,26,23,21,82,0,12,0.201
Ben Ethridge,Southern Miss,6,2,3.25,16,14,2,2,0,74.2,65,27,27,13,82,0,6,0.23
Ryan Webb,Georgia,3,4,3.32,11,11,0,0,0,59.2,43,26,22,17,82,4,3,0.198
Grant Hartwig,Miami (OH),5,5,3.44,14,11,1,0,0,73.1,65,41,28,11,82,5,15,0.231
JoJo Booker,South Alabama,8,0,3.64,16,16,1,0,0,84,68,38,34,40,82,11,8,0.23
Derek Diamond,Ole Miss,3,5,5.26,20,14,0,0,1,75.1,80,54,44,32,82,5,7,0.268
Josh White,California,5,3,2.79,16,5,0,0,3,61.1,49,27,19,25,81,14,5,0.213
Andrew Alvarez,Cal Poly,7,3,4.08,16,14,1,0,0,88.1,92,44,40,31,81,8,10,0.276
Shane Connolly,Virginia Tech,2,3,4.14,21,6,0,0,6,63,57,31,29,14,81,6,6,0.238
Justin Meis,Eastern Michigan,4,6,4.64,14,13,1,0,0,73.2,73,40,38,33,81,6,6,0.264
Colin Fields,Valparaiso,2,7,6.71,13,13,1,1,0,59,62,49,44,43,81,5,5,0.262
Pete Hansen,Texas,9,1,1.88,19,14,0,0,0,91,66,22,19,23,80,2,2,0.201
Gabe Bierman,Indiana,5,4,2.68,12,12,1,0,0,74,47,26,22,30,80,4,8,0.179
Ryne Moore,Old Dominion,9,1,3.16,17,14,1,1,0,85.1,76,35,30,22,80,6,18,0.236
Mason Erla,Michigan State,5,6,3.5,13,13,1,0,0,79.2,76,40,31,30,80,2,7,0.256
Jonah Smith,Creighton,6,5,4.37,12,12,2,1,0,68,72,37,33,21,80,5,0,0.273
Jonathan Brand,Miami (OH),3,4,4.9,14,13,2,0,0,64.1,58,37,35,38,80,4,7,0.247
Jake Rice,Kennesaw State,9,2,1.93,13,13,0,0,0,74.2,48,21,16,24,79,4,4,0.181
Miles Smith,South Alabama,7,1,2.18,19,7,0,0,2,82.2,66,25,20,21,79,6,4,0.22
Nick Pinto,UC Irvine,7,4,3.43,17,16,0,0,0,86.2,83,45,33,26,79,4,12,0.247
Chandler Jozwiak,Texas A&M,2,4,3.48,28,0,0,0,8,62,54,26,24,18,79,7,15,0.24
Micah Dallas,Texas Tech,4,3,3.51,17,10,0,0,2,66.2,61,34,26,20,79,11,3,0.244
Carson Whisenhunt,East Carolina,6,2,3.77,13,13,0,0,0,62,50,28,26,22,79,8,1,0.22
Nathan Lavender,Illinois,7,2,4.11,13,9,0,0,0,57,55,28,26,15,79,3,7,0.253
Kamron Fields,Texas Southern,4,6,5.03,13,11,2,0,1,68,69,53,38,37,79,7,6,0.262
Hunter Davidson,North Alabama,2,6,5.14,13,12,0,0,0,70,91,47,40,18,79,6,5,0.307
Jacob Coats,Houston Baptist,3,8,5.17,14,14,2,0,0,78.1,77,47,45,35,79,8,6,0.254
Sam Benschoter,Michigan State,3,5,7.4,14,8,0,0,1,69.1,85,60,57,32,79,9,13,0.304
Jordan Patty,Central Michigan,10,2,2.46,15,15,3,3,0,91.1,72,28,25,28,78,4,4,0.22
Christian Peters,Portland,5,4,2.63,13,12,0,0,1,78.2,65,31,23,23,78,3,11,0.22
Jack Leftwich,Florida,7,4,3.36,24,6,0,0,5,69.2,54,28,26,22,78,3,9,0.208
Ben Chapman,Southern Illinois,7,5,3.97,15,15,1,0,0,81.2,87,40,36,18,78,3,5,0.272
Jason Goe,Morehead State,3,5,4.39,14,13,0,0,1,80,86,50,39,17,78,8,7,0.265
Tyler Thornton,Arizona State,2,4,5.54,16,14,0,0,1,76.1,80,50,47,38,78,2,11,0.27
Rhett Lowder,Wake Forest,4,2,6.12,14,12,0,0,0,67.2,79,51,46,22,78,5,6,0.285
Jake Miller,San Diego,6,2,2.52,12,12,0,0,0,60.2,50,24,17,17,77,3,5,0.223
Cal Carver,Northwestern State,6,5,3.19,14,14,3,0,0,84.2,66,38,30,34,77,8,5,0.216
Trevin Michael,Lamar,6,3,3.29,12,12,2,2,0,68.1,56,30,25,29,77,8,6,0.223
Tristan Stevens,Texas,11,3,3.31,18,18,0,0,0,111.1,105,41,41,23,77,3,7,0.248
Sean Hunley,Tennessee,7,5,3.36,35,0,0,0,9,72.1,62,31,27,13,77,2,5,0.229
Anthony Simonelli,Virginia Tech,5,2,3.92,13,13,0,0,0,66.2,42,33,29,28,77,0,5,0.176
Will Heflin,Tennessee,3,3,4.07,18,16,0,0,0,79.2,82,40,36,17,77,7,5,0.268
Andy Archer,Georgia Tech,5,5,4.8,15,14,1,1,0,75,73,48,40,36,77,3,8,0.246
Jason Alvarez,Grambling,4,4,5.19,13,7,0,0,1,60.2,58,44,35,26,77,6,10,0.248
Sam Folks,Tennessee-Martin,3,6,5.24,16,13,0,0,0,77.1,81,51,45,21,77,5,14,0.266
Luke Fox,Duke,2,2,3.05,20,9,0,0,0,56,59,31,19,15,76,3,8,0.266
Tyler Tuthill,Appalachian State,4,6,3.33,14,14,1,0,0,89.1,52,38,33,43,76,11,14,0.174
Andrew Braun,Central Connecticut,9,1,3.64,15,14,1,1,0,84,83,35,34,12,76,4,9,0.255
Jared Lyons,George Mason,6,2,3.73,12,12,2,0,0,72.1,50,38,30,38,76,6,7,0.192
Bryan Pope,California Baptist,8,4,4.15,15,15,2,0,0,80.1,84,42,37,27,76,4,11,0.269
Andrew Lindsey,Charlotte,6,2,4.89,20,12,0,0,0,81,90,47,44,29,76,11,10,0.284
Joey Kosowsky,Fairleigh Dickinson,5,3,5.19,12,12,0,0,0,60.2,60,44,35,40,76,8,8,0.264
Kyle Jones,Toledo,1,10,5.53,14,12,6,1,0,81.1,101,59,50,20,76,5,6,0.3
Liam Eddy,Wichita State,5,8,6.14,15,15,0,0,0,77.2,92,59,53,22,76,4,10,0.296
Dylan Tebrake,Creighton,8,0,2.73,12,12,1,1,0,72.2,59,23,22,24,75,8,5,0.22
RJ Petit,Charleston Southern,6,5,2.79,14,13,1,1,0,84,69,36,26,31,75,5,8,0.223
Landen Bourassa,San Francisco,7,4,2.88,15,15,2,1,0,97,89,44,31,24,75,6,5,0.241
Colin Scanlon,La Salle,7,2,3.03,13,13,2,1,0,80.1,72,38,27,22,75,7,10,0.232
Nick Zwack,Xavier,6,5,3.15,15,14,3,2,1,80,69,30,28,33,75,5,8,0.231
Thomas Harrington,Campbell,6,3,3.45,16,14,1,1,0,75.2,65,37,29,28,75,11,10,0.226
Sean Sullivan,California,4,5,3.68,15,15,0,0,0,78.1,78,37,32,22,75,2,6,0.252
Mack Anglin,Clemson,2,6,3.99,13,8,0,0,0,56.1,48,32,25,33,75,9,10,0.227
Garrett Irvin,Arizona,6,4,4.59,18,18,2,1,0,88.1,96,48,45,35,75,6,2,0.27
Michael Kirian,Louisville,5,3,4.8,16,11,0,0,1,69.1,70,42,37,28,75,5,2,0.257
Connor Bovair,Siena,4,5,5.34,10,9,4,0,0,55.2,48,35,33,20,75,8,8,0.222
Nick Mondak,St. John's,4,3,1.92,11,11,0,0,0,65.2,63,19,14,18,74,5,2,0.248
Ryan Miller,North Carolina Central,10,0,2.21,13,12,2,2,0,73.1,55,26,18,22,74,2,4,0.204
Travis Weston,Cal Poly,5,6,3.28,14,14,3,1,0,82.1,82,37,30,17,74,2,5,0.258
Alex Garbrick,USC Upstate,7,3,3.39,14,14,0,0,0,66.1,61,34,25,29,74,6,7,0.24
Tyler Owens,Georgia Southern,7,2,3.62,16,14,0,0,0,77,69,37,31,29,74,7,4,0.229
Evan Justice,NC State,5,2,3.77,24,4,0,0,13,59.2,40,27,25,25,74,13,8,0.188
Chris Jefferson,New Mexico State,6,6,4.31,13,13,7,1,0,79.1,79,42,38,27,74,5,3,0.257
Zach Pettway,UCLA,3,5,4.56,15,14,1,0,0,79,76,43,40,16,74,2,5,0.257
Ryan Chasse,Campbell,6,2,4.6,16,15,2,1,0,78.1,76,47,40,32,74,14,9,0.249
Nathanial Tate,East Tennessee State,4,4,5.12,13,12,0,0,0,63.1,65,39,36,19,74,6,8,0.262
Jordan Jackson,Georgia Southern,4,6,5.19,16,14,0,0,0,67.2,82,45,39,14,74,7,1,0.29
Sam Gardner,Murray State,5,6,5.51,15,13,2,1,0,68.2,75,47,42,26,74,4,3,0.28
AJ Labas,LSU,4,2,5.55,16,15,1,0,0,86,104,54,53,17,74,1,9,0.295
Johnathan Lavallee,Long Beach State,8,1,1.89,11,9,1,1,0,62,35,15,13,16,73,2,1,0.16
Michael Sansone,Fairfield,9,2,2.58,12,9,4,1,1,66.1,52,20,19,15,73,1,9,0.209
Mason Studstill,Florida Gulf Coast,7,3,3.02,13,13,0,0,0,83.1,70,38,28,32,73,5,3,0.223
Colby Stuart,East Tennessee State,6,1,3.22,14,14,0,0,0,86.2,74,34,31,23,73,1,5,0.238
Shane Gray,Evansville,6,3,3.38,15,15,1,1,0,88,74,42,33,35,73,2,4,0.228
Isaac Esqueda,Southern California,6,3,3.41,15,14,0,0,0,87,79,37,33,32,73,15,5,0.234
Jackson Kelley,Mercer,3,4,3.67,25,14,0,0,1,68.2,73,33,28,30,73,3,12,0.28
Brandon Deskins,Rice,3,4,3.88,17,7,0,0,1,53.1,42,27,23,29,73,6,6,0.213
Sebastian Keane,Northeastern,6,1,4.1,12,12,1,1,0,70.1,64,34,32,20,73,2,9,0.242
Taylor Lobus,Mercer,9,3,4.25,24,7,0,0,0,72,66,43,34,30,73,11,2,0.245
Ryan Jennings,Louisiana Tech,5,4,4.48,17,16,3,2,0,84.1,88,44,42,26,73,10,15,0.272
Mike Vasil,Virginia,7,5,4.52,17,16,0,0,0,81.2,101,52,41,18,73,4,5,0.3
Alex Stiegler,Boston College,4,3,4.99,17,8,0,0,1,70.1,85,39,39,20,73,5,8,0.305
Jimmy Borzone,Dixie State,3,5,7.23,14,14,2,0,0,69.2,83,60,56,25,73,8,13,0.293
John Gaddis,Texas A&M-Corpus Christi,5,3,2.25,13,10,4,2,0,64,42,19,16,18,72,5,4,0.186
Tyler Schoff,Bryant,7,1,3.12,12,12,0,0,0,69.1,64,31,24,14,72,6,5,0.231
Nicholas Dombkowski,Hartford,4,3,3.13,10,10,1,1,0,60.1,42,27,21,27,72,3,9,0.194
Chris Burica,California Baptist,8,5,3.36,15,15,5,3,0,104.1,94,45,39,18,72,4,9,0.242
Tyler Bosma,Miami (OH),2,4,3.95,15,14,0,0,0,57,56,33,25,37,72,8,7,0.259
Travis Adams,Sacramento State,6,3,4.31,14,14,2,0,0,79.1,82,38,38,16,72,3,4,0.269
Alex Pham,San Francisco,3,5,4.39,22,1,0,0,4,55.1,49,29,27,32,72,6,2,0.238
